name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_ret,puntret_tds,receiving_lng,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
P.Cobbs,00-0024172,no,MIA,,,,,,,,,,,,,,,,,,,,,115,131,16,0,,,,,,,,,,,,,,,,,23,3,0,0,0,23,6,30,0,0,0,36
J.Ferguson,00-0005150,no,MIA,,8,0,0,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.McDaniel,00-0024102,no,MIA,DT,3,0,0,1.5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Taylor,00-0016112,no,MIA,,9,3,1,6.5,33,0,0,0,1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V.Davis,00-0027001,no,MIA,CB,4,0,4,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Smith,00-0027037,no,MIA,CB,7,0,0,0,31,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.Langford,00-0026206,no,MIA,DE,10,1,0,2.5,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.Jones,00-0022828,no,MIA,,5,1,2,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Porter,00-0013126,no,MIA,,7,1,0,9.0,34,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.Merling,00-0026172,no,MIA,,9,0,0,1.5,23,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y.Bell,00-0022067,no,MIA,,22,0,3,1.5,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.Starks,00-0022805,no,MIA,DE,14,0,0,7.0,42,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W.Allen,00-0020467,no,MIA,,2,0,2,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.Wilson,00-0022815,no,MIA,,20,0,0,1,72,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.Ayodele,00-0021214,no,MIA,,10,1,0,0,60,0,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Crowder,00-0023505,no,MIA,,8,0,1,1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Flacco,00-0026158,no,BAL,QB,,,,,,2,3,8,3,0,,,,,,,,,,,,,,499,315,12,21,0,0,3613,,,,,,,,,,,,,,,,34,41,0,0,0,62
R.Rice,00-0026195,no,BAL,,0,0,0,0,1,3,1,3,1,2,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,,,,,,360,78,1,0,0,702,254,374,7,0,0,1339
M.Clayton,00-0023457,no,BAL,,,,,,,1,0,1,0,0,,,,,,,,,,,,,,1,1,0,0,0,0,0,,,,,,,,,,259,34,2,0,0,480,4,25,0,0,0,28
W.McGahee,00-0022178,no,BAL,,,,,,,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,15,2,0,0,85,109,221,12,0,0,544
L.McClain,00-0025524,no,BAL,,,,,,,,,,,,,,,,,,,,,17,17,1,0,,,,,,,,,,,,,,,,,89,21,0,0,0,141,46,100,2,0,0,180
K.Washington,00-0022171,no,BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,34,2,0,0,431,1,1,0,0,0,1
D.Mason,00-0010500,no,BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,73,7,0,0,1028,1,2,0,0,0,2
T.Heap,00-0020516,no,BAL,,,,,,,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,53,6,0,0,593,1,2,0,0,0,2
S.Hauschka,00-0025944,no,BAL,K,,,,,,,,,,,13,9,229,27,27,1,27,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.Koch,00-0024417,no,BAL,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611,26,835,73,3188,,,,,,,,,,,,,,,,
D.Edwards,00-0022750,no,BAL,DT,11,0,0,1,35,0,0,0,2,0,,,,,,,,,,14,14,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.Carr,00-0023008,no,BAL,,6,2,2,1.5,31,1,0,2,0,4,,,,,,,,,,118,142,14,0,,,,,,,,,,,,,95,177,32,0,,,,,,,,,,,,
E.Reed,00-0021377,no,BAL,,8,3,3,0,42,1,2,3,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,18,25,7,0,,,,,,,,,,,,
D.Foxworth,00-0023532,no,BAL,,4,0,4,0,48,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.Pryce,00-0013282,no,BAL,,12,1,0,6.5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.Ayanbadejo,00-0000551,no,BAL,,2,0,1,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
