year,name,firstname,lastname,position,heightfeet,heightinches,heightinchestotal,weight,arms,hands,fortyyd,twentyyd,tenyd,twentyss,threecone,vertical,broad,bench,round,college,pick,pickround,picktotal,wonderlic,nflgrade
2015,Landon Collins,Landon,Collins,SS,6,0.0000,72.0000,228,0.0000,0.0000,4.5300,0.0000,0.0000,4.3300,7.3800,35.0000,120,0,0,Alabama,,0,0,0,6.4
2015,Chris Conley,Chris,Conley,WR,6,2.0000,74.0000,213,0.0000,0.0000,4.3500,0.0000,0.0000,4.3000,7.0600,45.0000,139,18,0,Georgia,,0,0,0,5.5
2015,Amari Cooper,Amari,Cooper,WR,6,1.0000,73.0000,211,0.0000,0.0000,4.4200,0.0000,0.0000,3.9800,6.7100,33.0000,120,0,0,Alabama,,0,0,0,7.0
2015,Xavier Cooper,Xavier,Cooper,DT,6,3.0000,75.0000,293,0.0000,0.0000,4.8600,0.0000,0.0000,4.3700,7.2300,29.0000,110,29,0,Washington St.,,0,0,0,5.4
2015,Christian Covington,Christian,Covington,DT,6,2.0000,74.0000,289,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,Rice,,0,0,0,5.4
2015,Justin Cox,Justin,Cox,FS,6,1.0000,73.0000,191,0.0000,0.0000,4.3600,0.0000,0.0000,4.0700,7.0500,38.0000,129,15,0,Mississippi St.,,0,0,0,4.9
2015,Corey Crawford,Corey,Crawford,DE,6,5.0000,77.0000,283,0.0000,0.0000,5.0100,0.0000,0.0000,4.6500,7.6400,33.0000,110,0,0,Clemson,,0,0,0,4.9
2015,Rob Crisp,Rob,Crisp,OT,6,7.0000,79.0000,301,0.0000,0.0000,5.2600,0.0000,0.0000,4.6000,8.0700,32.5000,107,26,0,N.C. State,,0,0,0,5.5
2015,John Crockett,John,Crockett,RB,6,0.0000,72.0000,217,0.0000,0.0000,4.6200,0.0000,0.0000,4.2500,7.1500,40.0000,125,15,0,North Dakota St.,,0,0,0,5.2
2015,Jamison Crowder,Jamison,Crowder,WR,5,8.0000,68.0000,185,0.0000,0.0000,4.5600,0.0000,0.0000,4.3200,7.1700,37.0000,115,10,0,Duke,,0,0,0,5.4
2015,Yannik Cudjoe-Virgil,Yannik,Cudjoe-Virgil,OLB,6,2.0000,74.0000,248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,25,0,Maryland,,0,0,0,4.8
2015,Davaris Daniels,Davaris,Daniels,WR,6,1.0000,73.0000,201,0.0000,0.0000,4.6200,0.0000,0.0000,0.0000,0.0000,37.0000,122,13,0,Notre Dame,,0,0,0,5.2
2015,Ronald Darby,Ronald,Darby,CB,5,11.0000,71.0000,193,0.0000,0.0000,4.3800,0.0000,0.0000,4.1400,6.9400,41.5000,129,12,0,Florida St.,,0,0,0,5.6
2015,Aaron Davis,Aaron,Davis,OLB,6,0.0000,72.0000,225,0.0000,0.0000,4.9500,0.0000,0.0000,4.3700,7.3800,29.0000,107,16,0,Colorado St.,,0,0,0,5.2
2015,Carl Davis,Carl,Davis,DT,6,5.0000,77.0000,320,0.0000,0.0000,5.0700,0.0000,0.0000,4.4700,7.9100,33.0000,103,0,0,Iowa,,0,0,0,5.9
