Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
88,Mark Clayton,BAL,23,WR,14,10,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
89,Tony Fisher,GNB,26,,14,4,,1,1,100,14,0,0,0,0,14,14,14,14,1,118.7,0,0,14,14,0,,
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
90,DeShaun Foster,CAR,25,rb,15,5,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
91,Samkon Gado,GNB,23,rb,8,5,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
92,Chris Gardocki,PIT,35,,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
93,Keyshawn Johnson,DAL,33,WR,16,14,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
94,Roscoe Parrish,BUF,23,,10,1,,1,1,100,3,0,0,0,0,3,3,3,3,0.3,79.2,0,0,3,3,0,,
95,B.J. Sander,GNB,25,,14,0,,1,1,100,4,0,0,0,0,4,4,4,4,0.3,83.3,0,0,4,4,0,,
96,Hunter Smith,IND,28,,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
97,Rod Smith*,DEN,35,WR,16,16,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,1,11,-5.5,-5.5,50,,
98,Domanick Williams,HOU,25,RB,11,11,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
