
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
57,Koy Detmer,PHI,29,,14,1,1-0-0,19,28,67.9,224,2,7.1,0,0.0,37,8.0,9.4,11.8,16.0,115.8,1,8,7.45,8.83,3.4,,
58,Doug Pederson,GNB,34,,16,0,,19,28,67.9,134,1,3.6,0,0.0,20,4.8,5.5,7.1,8.4,90.5,1,8,4.34,5.03,3.4,,
59,Shaun King,TAM,25,,3,1,0-1-0,10,27,37.0,80,0,0.0,1,3.7,20,3.0,1.3,8.0,26.7,30.0,1,5,2.68,1.07,3.6,0,1
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
60,Josh McCown,ARI,23,,2,0,,7,18,38.9,66,0,0.0,2,11.1,26,3.7,-1.3,9.4,33.0,10.2,5,50,0.70,-3.22,21.7,,
61,Doug Flutie,SDG,40,,1,0,,3,11,27.3,64,0,0.0,0,0.0,47,5.8,5.8,21.3,64.0,51.3,0,0,5.82,5.82,0.0,,
62,Jake Delhomme,NOR,27,,4,0,,8,10,80.0,113,0,0.0,0,0.0,54,11.3,11.3,14.1,28.3,113.7,0,0,11.30,11.30,0.0,,
63,Cory Sauter,CHI,28,,1,0,,6,9,66.7,59,0,0.0,0,0.0,31,6.6,6.6,9.8,59.0,85.0,4,20,3.00,3.00,30.8,,
64,Antwaan Randle El,PIT,23,,16,0,,7,8,87.5,45,0,0.0,0,0.0,25,5.6,5.6,6.4,2.8,90.1,1,10,3.89,3.89,11.1,,
65,Todd Bouman,MIN,30,,1,0,,3,6,50.0,85,0,0.0,0,0.0,48,14.2,14.2,28.3,85.0,95.8,2,22,7.88,7.88,25.0,,
66,Todd Collins,KAN,31,,3,0,,5,6,83.3,73,1,16.7,0,0.0,29,12.2,15.5,14.6,24.3,156.9,0,0,12.17,15.50,0.0,,
67,Marty Booker*,CHI,26,WR,16,16,,1,5,20.0,44,1,20.0,0,0.0,44,8.8,12.8,44.0,2.8,103.3,0,0,8.80,12.80,0.0,,
68,Scott Covington,STL,26,,1,1,1-0-0,2,5,40.0,7,0,0.0,0,0.0,4,1.4,1.4,3.5,7.0,47.9,2,16,-1.29,-1.29,28.6,,
