Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,year
13,Joe Flacco,BAL,25,QB,16,16,12/4/2000,306,489,62.6,3622,25,5.1,10,2,67,7.4,7.5,11.8,226.4,93.6,58.03,40,294,6.29,6.39,7.6,2,4,2010
14,Aaron Rodgers,GNB,27,QB,15,15,10/5/2000,312,475,65.7,3922,28,5.9,11,2.3,86,8.3,8.4,12.6,261.5,101.2,62.3,31,193,7.37,7.5,6.1,0,1,2010
15,Josh Freeman,TAM,22,QB,16,16,10/6/2000,291,474,61.4,3451,25,5.3,6,1.3,64,7.3,7.8,11.9,215.7,95.9,59.43,28,195,6.49,6.94,5.6,5,5,2010
16,Donovan McNabb,WAS,34,QB,13,13,5/8/2000,275,472,58.3,3377,14,3,15,3.2,76,7.2,6.3,12.3,259.8,77.1,35.54,37,271,6.1,5.33,7.3,2,2,2010
17,Matt Cassel*,KAN,28,QB,15,15,10/5/2000,262,450,58.2,3116,27,6,7,1.6,75,6.9,7.4,11.9,207.7,93,52.31,26,182,6.16,6.64,5.5,1,2,2010
18,Matt Hasselbeck,SEA,35,QB,14,14,6/8/2000,266,444,59.9,3001,12,2.7,17,3.8,87,6.8,5.6,11.3,214.4,73.2,37.97,29,175,5.97,4.86,6.1,0,0,2010
19,Ryan Fitzpatrick,BUF,28,QB,13,13,4/9/2000,255,441,57.8,3000,23,5.2,15,3.4,65,6.8,6.3,11.8,230.8,81.8,41.41,24,145,6.14,5.68,5.2,1,1,2010
20,Jay Cutler,CHI,27,QB,15,15,10/5/2000,261,432,60.4,3274,23,5.3,16,3.7,89,7.6,7,12.5,218.3,86.3,43.91,52,352,6.04,5.5,10.7,4,4,2010
21,Shaun Hill,DET,30,QB,11,10,3/7/2000,257,416,61.8,2686,16,3.8,12,2.9,75,6.5,5.9,10.5,244.2,81.3,45.15,17,113,5.94,5.43,3.9,1,0,2010
22,Ben Roethlisberger,PIT,28,QB,12,12,9/3/2000,240,389,61.7,3200,17,4.4,5,1.3,56,8.2,8.5,13.3,266.7,97,62.15,32,220,7.08,7.35,7.6,2,4,2010
23,Michael Vick*,PHI,30,QB,12,12,8/3/2000,233,372,62.6,3018,21,5.6,6,1.6,91,8.1,8.5,13,251.5,100.2,65.04,34,210,6.92,7.29,8.4,4,3,2010
24,David Garrard,JAX,32,QB,14,14,8/6/2000,236,366,64.5,2734,23,6.3,15,4.1,75,7.5,6.9,11.6,195.3,90.8,55.96,33,253,6.22,5.68,8.3,1,5,2010
25,Brett Favre,MIN,41,QB,13,13,5/8/2000,217,358,60.6,2509,11,3.1,19,5.3,53,7,5.2,11.6,193,69.9,22.79,22,139,6.24,4.57,5.8,1,2,2010
26,Alex Smith,SFO,26,QB,11,10,3/7/2000,204,342,59.6,2370,14,4.1,10,2.9,62,6.9,6.4,11.6,215.5,82.1,33.72,25,140,6.08,5.61,6.8,,,2010
27,Jason Campbell,OAK,29,QB,13,12,7/5/2000,194,329,59,2387,13,4,8,2.4,73,7.3,7,12.3,183.6,84.5,40.8,33,208,6.02,5.74,9.1,2,2,2010
28,Derek Anderson,ARI,27,QB,12,9,2/7/2000,169,327,51.7,2065,7,2.1,10,3.1,43,6.3,5.4,12.2,172.1,65.9,22.14,25,176,5.37,4.49,7.1,1,1,2010
29,Jon Kitna,DAL,38,QB,10,9,4/5/2000,209,318,65.7,2365,16,5,12,3.8,71,7.4,6.7,11.3,236.5,88.9,46.5,21,100,6.68,6.03,6.2,1,2,2010
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,2010
30,Jimmy Clausen,CAR,23,QB,13,10,1/9/2000,157,299,52.5,1558,3,1,9,3,55,5.2,4.1,9.9,119.8,58.4,10.61,33,223,4.02,2.98,9.9,,,2010
31,Kerry Collins,TEN,38,qb,10,7,2/5/2000,160,278,57.6,1823,14,5,8,2.9,80,6.6,6.3,11.4,182.3,82.2,51.16,13,91,5.95,5.68,4.5,1,1,2010
32,Colt McCoy,CLE,24,QB,8,8,2/6/2000,135,222,60.8,1576,6,2.7,9,4.1,47,7.1,5.8,11.7,197,74.5,44.56,23,132,5.89,4.73,9.4,,,2010
33,Tony Romo,DAL,30,qb,6,6,1/5/2000,148,213,69.5,1605,11,5.2,7,3.3,69,7.5,7.1,10.8,267.5,94.9,59.36,7,41,7.11,6.68,3.2,,,2010
34,Kevin Kolb,PHI,26,qb,7,5,2/3/2000,115,189,60.8,1197,7,3.7,7,3.7,83,6.3,5.4,10.4,171,76.1,35.04,15,99,5.38,4.52,7.4,,,2010
35,Bruce Gradkowski,OAK,27,,6,4,1/3/2000,83,157,52.9,1059,5,3.2,7,4.5,70,6.7,5.4,12.8,176.5,66.3,24.26,10,77,5.88,4.59,6,,,2010
36,Vince Young,TEN,27,QB,9,8,4/4/2000,93,156,59.6,1255,10,6.4,3,1.9,71,8,8.5,13.5,139.4,98.6,62.48,13,80,6.95,7.34,7.7,0,1,2010
37,Jake Delhomme,CLE,35,,5,4,2/2/2000,93,149,62.4,872,2,1.3,7,4.7,49,5.9,4,9.4,174.4,63.4,19.65,6,49,5.31,3.54,3.9,1,2,2010
38,Troy Smith,SFO,26,qb,6,6,3/3/2000,73,145,50.3,1176,5,3.4,4,2.8,66,8.1,7.6,16.1,196,77.8,33.85,18,112,6.53,6.04,11,2,2,2010
39,Matt Moore,CAR,26,qb,6,5,1/4/2000,79,143,55.2,857,5,3.5,10,7,39,6,3.5,10.8,142.8,55.6,24.58,13,90,4.92,2.67,8.3,1,1,2010
40,Rex Grossman,WAS,30,,4,3,1/2/2000,74,133,55.6,884,7,5.3,4,3,64,6.6,6.3,11.9,221,81.2,23.64,9,77,5.68,5.4,6.3,0,1,2010
41,John Skelton,ARI,22,,5,4,2/2/2000,60,126,47.6,662,2,1.6,2,1.6,74,5.3,4.9,11,132.4,62.3,22.71,9,65,4.42,4.05,6.7,1,1,2010
42,Drew Stanton,DET,26,,6,3,2/1/2000,69,119,58,780,4,3.4,3,2.5,87,6.6,6.1,11.3,130,78.4,35.98,6,42,5.9,5.46,4.8,2,2,2010
43,Trent Edwards,2TM,27,,5,3,0-3-0,55,101,54.5,521,2,2,5,5,44,5.2,3.3,9.5,104.2,54.9,,11,95,3.8,2.15,9.8,,,2010
44,Seneca Wallace,CLE,30,,8,4,1/3/2000,64,101,63.4,694,4,4,2,2,65,6.9,6.8,10.8,86.8,88.5,37.5,6,33,6.18,6.08,5.6,,,2010
45,Charlie Whitehurst,SEA,28,,6,2,1/1/2000,57,99,57.6,507,2,2,3,3,61,5.1,4.2,8.9,84.5,65.5,16.71,5,13,4.75,3.84,4.8,,,2010
46,Matthew Stafford,DET,22,,3,3,1/2/2000,57,96,59.4,535,6,6.3,1,1,36,5.6,6.4,9.4,178.3,91.3,44.01,4,36,4.99,5.74,4,1,1,2010
47,Joe Webb,MIN,24,,5,2,1/1/2000,54,89,60.7,477,0,0,3,3.4,46,5.4,3.8,8.8,95.4,60.9,40.66,8,48,4.42,3.03,8.2,,,2010
48,Tim Tebow,DEN,23,,9,3,1/2/2000,41,82,50,654,5,6.1,3,3.7,50,8,7.5,16,72.7,82.1,54.29,6,26,7.14,6.74,6.8,1,1,2010
49,Max Hall,ARI,25,,6,3,1/2/2000,39,78,50,370,1,1.3,6,7.7,26,4.7,1.5,9.5,61.7,35.7,6.07,14,90,3.04,0.33,15.2,0,1,2010
50,Matt Flynn,GNB,25,,7,1,0-1-0,40,66,60.6,433,3,4.5,2,3,66,6.6,6.1,10.8,61.9,82.4,26.43,7,38,5.41,5,9.6,,,2010
51,Tyler Thigpen,MIA,26,,5,1,0-1-0,33,62,53.2,435,2,3.2,2,3.2,35,7,6.2,13.2,87,73,26.49,8,50,5.5,4.79,11.4,,,2010
52,Tarvaris Jackson,MIN,27,,3,1,0-1-0,34,58,58.6,341,3,5.2,4,6.9,46,5.9,3.8,10,113.7,63.9,28.37,6,43,4.66,2.78,9.4,,,2010
53,Charlie Batch,PIT,36,,3,2,1/1/2000,29,49,59.2,352,3,6.1,3,6.1,46,7.2,5.7,12.1,117.3,76.2,46.54,4,21,6.25,4.83,7.5,,,2010
54,Stephen McGee,DAL,25,,2,1,1-0-0,22,44,50,238,2,4.5,0,0,37,5.4,6.3,10.8,119,81.4,52.03,3,25,4.53,5.38,6.4,1,1,2010
55,Rusty Smith,TEN,23,,2,1,0-1-0,20,40,50,200,0,0,4,10,52,5,0.5,10,100,25,4.29,1,0,4.88,0.49,2.4,,,2010
56,Todd Bouman,JAX,38,,1,1,0-1-0,18,34,52.9,222,2,5.9,2,5.9,29,6.5,5.1,12.3,222,68.5,69.71,1,6,6.17,4.74,2.9,,,2010
57,Dennis Dixon,PIT,25,,2,2,2-0-0,22,32,68.8,254,0,0,1,3.1,52,7.9,6.5,11.5,127,79.4,27.66,5,41,5.76,4.54,13.5,0,1,2010
58,Richard Bartel,ARI,27,,1,0,,16,28,57.1,150,0,0,1,3.6,31,5.4,3.8,9.4,150,57.1,10.47,2,12,4.6,3.1,6.7,,,2010
59,Brian St. Pierre,CAR,31,,1,1,0-1-0,13,28,46.4,173,1,3.6,2,7.1,88,6.2,3.7,13.3,173,48.7,5.26,3,23,4.84,2.58,9.7,,,2010
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,2010
60,Todd Collins,CHI,39,,2,1,1-0-0,10,27,37,68,0,0,5,18.5,19,2.5,-5.8,6.8,34,5.9,0.59,2,15,1.83,-5.93,6.9,,,2010
61,Brian Brohm,BUF,25,,1,1,0-1-0,10,23,43.5,106,0,0,3,13,33,4.6,-1.3,10.6,106,17.9,10.6,3,5,3.88,-1.31,11.5,,,2010
62,Brodie Croyle,KAN,27,,2,1,0-1-0,8,19,42.1,38,0,0,1,5.3,16,2,-0.4,4.8,19,27.7,3.96,4,29,0.39,-1.57,17.4,,,2010
63,Luke McCown,JAX,29,,1,0,,11,19,57.9,120,0,0,0,0,25,6.3,6.3,10.9,120,76.6,9.8,0,0,6.32,6.32,0,,,2010
64,Josh Johnson,TAM,24,,11,0,,14,16,87.5,111,0,0,0,0,22,6.9,6.9,7.9,10.1,95.6,74.72,2,8,5.72,5.72,11.1,,,2010
65,Brian Hoyer,NWE,25,,5,0,,7,15,46.7,122,1,6.7,1,6.7,42,8.1,6.5,17.4,24.4,69.3,45.17,0,0,8.13,6.47,0,,,2010
66,Mark Brunell,NYJ,40,,2,0,,7,13,53.8,117,2,15.4,1,7.7,52,9,8.6,16.7,58.5,92,70.28,1,7,7.86,7.5,7.1,,,2010
67,David Carr,SFO,31,,1,0,,5,13,38.5,67,0,0,1,7.7,22,5.2,1.7,13.4,67,23.6,2.02,1,5,4.43,1.21,7.1,,,2010
68,Tony Pike,CAR,24,,1,0,,6,12,50,47,0,0,0,0,22,3.9,3.9,7.8,47,60.1,2.58,1,10,2.85,2.85,7.7,,,2010
69,Caleb Hanie,CHI,25,,2,0,,5,7,71.4,55,0,0,0,0,26,7.9,7.9,11,27.5,94.3,8.69,2,15,4.44,4.44,22.2,,,2010
70,Byron Leftwich,PIT,30,,1,0,,5,7,71.4,42,0,0,0,0,14,6,6,8.4,42,86.6,69.69,2,7,3.89,3.89,22.2,,,2010
71,Tyler Palko,KAN,27,,2,0,,4,6,66.7,35,0,0,0,0,18,5.8,5.8,8.8,17.5,81.9,82.07,2,10,3.13,3.13,25,,,2010
72,Chris Redman,ATL,33,,2,0,,4,6,66.7,20,0,0,0,0,14,3.3,3.3,5,10,71.5,33.6,0,0,3.33,3.33,0,,,2010
73,Kyle Boller,OAK,29,,5,0,,2,4,50,25,0,0,1,25,20,6.3,-5,12.5,5,30.2,0.53,1,6,3.8,-5.2,20,,,2010
74,Levi Brown,BUF,23,,1,0,,2,3,66.7,24,0,0,1,33.3,16,8,-7,12,24,51.4,13.22,0,0,8,-7,0,,,2010
75,Josh Cribbs,CLE,27,wr,15,5,,2,3,66.7,19,0,0,0,0,10,6.3,6.3,9.5,1.3,84,,1,0,4.75,4.75,25,,,2010
76,Chase Daniel,NOR,24,,13,0,,2,3,66.7,16,0,0,0,0,9,5.3,5.3,8,1.2,79.9,4.6,1,10,1.5,1.5,25,,,2010
77,Jordan Palmer,CIN,26,,1,0,,3,3,100,18,0,0,0,0,7,6,6,6,18,91.7,24.17,2,20,-0.4,-0.4,40,,,2010
78,Brad Smith,NYJ,27,,16,2,,2,3,66.7,6,1,33.3,0,0,3,2,8.7,3,0.4,109.7,68.65,0,0,2,8.67,0,,,2010
79,Micheal Spurlock,TAM,27,,16,1,,0,3,0,0,0,0,0,0,0,0,0,,0,39.6,0.08,0,0,0,0,0,,,2010
80,Steve Breaston,ARI,27,WR,13,11,,1,2,50,17,0,0,0,0,17,8.5,8.5,17,1.3,79.2,80.33,0,0,8.5,8.5,0,,,2010
81,Ronnie Brown,MIA,29,RB,16,16,,0,2,0,0,0,0,0,0,0,0,0,,0,39.6,6.25,0,0,0,0,0,,,2010
82,Kellen Clemens,NYJ,27,,1,0,,1,2,50,6,0,0,0,0,6,3,3,6,6,56.2,99.98,0,0,3,3,0,,,2010
83,Peyton Hillis,CLE,24,RB,16,14,,1,2,50,13,0,0,0,0,13,6.5,6.5,13,0.8,70.8,76.18,0,0,6.5,6.5,0,,,2010
84,Chad Pennington,MIA,34,,1,1,1-0-0,1,2,50,19,0,0,0,0,19,9.5,9.5,19,19,83.3,76.71,0,0,9.5,9.5,0,,,2010
85,Antwaan Randle El,PIT,31,,16,0,,2,2,100,42,2,100,0,0,39,21,41,21,2.6,158.3,99.99,0,0,21,41,0,,,2010
86,Marion Barber,DAL,27,RB,13,10,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,1.51,0,0,0,0,0,,,2010
87,Jahvid Best,DET,21,RB,16,9,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,1.32,0,0,0,0,0,,,2010
88,Anquan Boldin,BAL,30,WR,16,16,,1,1,100,-6,0,0,0,0,-6,-6,-6,-6,-0.4,79.2,14.33,0,0,-6,-6,0,,,2010
89,Patrick Crayton,SDG,31,,9,2,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0.64,0,0,0,0,0,,,2010
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,2010
90,Armanti Edwards,CAR,22,,3,0,,1,1,100,0,0,0,0,0,0,0,0,0,0,79.2,71.43,0,0,0,0,0,,,2010
91,Earnest Graham,TAM,30,rb,12,7,,1,1,100,2,1,100,0,0,2,2,22,2,0.2,118.7,99.98,0,0,2,22,0,,,2010
92,Chad Johnson,CIN,32,WR,14,12,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,1.5,0,0,0,0,0,,,2010
93,Maurice Jones-Drew*,JAX,25,RB,14,14,,0,1,0,0,0,0,1,100,0,0,-45,,0,0,0,0,0,0,-45,0,,,2010
94,Sam Koch,BAL,28,,16,0,,1,1,100,13,0,0,0,0,13,13,13,13,0.8,118.7,99.98,0,0,13,13,0,,,2010
95,Brandon LaFell,CAR,24,,14,2,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,0,,,2010
96,Stefan Logan,DET,29,,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,1.27,0,0,0,0,0,,,2010
97,Brandon Marshall,MIA,26,WR,14,14,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0.62,0,0,0,0,0,,,2010
98,Mohamed Massaquoi,CLE,24,WR,15,14,,1,1,100,29,1,100,0,0,29,29,49,29,1.9,158.3,100,0,0,29,49,0,,,2010
99,Darren McFadden,OAK,23,RB,13,13,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,21.17,0,0,0,0,0,,,2010
100,Michael Robinson,SEA,27,,11,4,,1,1,100,28,0,0,0,0,28,28,28,28,2.5,118.7,99.99,0,0,28,28,0,,,2010
101,Mike Scifres,SDG,30,,16,0,,1,1,100,28,0,0,0,0,28,28,28,28,1.8,118.7,100,0,0,28,28,0,,,2010
102,Billy Volek,SDG,34,,3,0,,1,1,100,8,0,0,0,0,8,8,8,8,2.7,100,97.51,0,0,8,8,0,,,2010
