Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,year
57,Troy Smith,BAL,23,,4,2,1/1/2000,40,76,52.6,452,2,2.6,0,0,79,5.9,6.5,11.3,113,79.5,39.51,4,29,5.29,5.79,5,,,2007
58,JaMarcus Russell,OAK,22,,4,1,0-1-0,36,66,54.5,373,2,3,4,6.1,32,5.7,3.5,10.4,93.3,55.9,13.14,6,40,4.63,2.68,8.3,,,2007
59,Byron Leftwich,ATL,27,,3,2,0-2-0,32,58,55.2,279,1,1.7,2,3.4,23,4.8,3.6,8.7,93,59.5,4.56,6,37,3.78,2.69,9.4,,,2007
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,2007
60,Brooks Bollinger,MIN,28,,5,1,0-1-0,33,50,66,391,1,2,1,2,50,7.8,7.3,11.8,78.2,88,32.17,7,36,6.23,5.79,12.3,1,1,2007
61,Patrick Ramsey,DEN,28,,2,0,,29,48,60.4,262,1,2.1,1,2.1,21,5.5,4.9,9,131,73.4,36.89,3,13,4.88,4.39,5.9,,,2007
62,Charlie Batch,PIT,33,,7,1,0-1-0,17,36,47.2,232,2,5.6,3,8.3,59,6.4,3.8,13.6,33.1,52.1,31.22,0,0,6.44,3.81,0,,,2007
63,Jim Sorgi,IND,27,,4,0,,18,36,50,132,1,2.8,0,0,12,3.7,4.2,7.3,33,68.3,11.55,2,15,3.08,3.61,5.3,,,2007
64,Brock Berlin,STL,26,,1,1,0-1-0,17,28,60.7,153,0,0,1,3.6,23,5.5,3.9,9,153,60.6,4.67,0,0,5.46,3.86,0,,,2007
65,Aaron Rodgers,GNB,24,,2,0,,20,28,71.4,218,1,3.6,0,0,43,7.8,8.5,10.9,109,106,80.06,3,24,6.26,6.9,9.7,,,2007
66,Seneca Wallace,SEA,27,,10,0,,19,28,67.9,215,2,7.1,1,3.6,45,7.7,7.5,11.3,21.5,99.6,25.98,3,13,6.52,6.35,9.7,,,2007
67,Tim Rattay,ARI,30,,4,0,,15,27,55.6,164,3,11.1,3,11.1,42,6.1,3.3,10.9,41,71.1,23.57,0,0,6.07,3.3,0,,,2007
68,J.T. O'Sullivan,DET,28,,4,0,,13,26,50,148,1,3.8,2,7.7,42,5.7,3,11.4,37,48.2,7.63,3,18,4.48,2.07,10.3,,,2007
69,Bruce Gradkowski,TAM,24,,4,0,,13,24,54.2,130,0,0,1,4.2,20,5.4,3.5,10,32.5,52.4,17.9,2,14,4.46,2.73,7.7,,,2007
70,Chris Weinke,SFO,35,,2,1,0-1-0,13,22,59.1,104,1,4.5,0,0,21,4.7,5.6,8,52,86.2,6.99,5,31,2.7,3.44,18.5,,,2007
71,Craig Nall,GNB,28,,1,0,,7,15,46.7,88,1,6.7,0,0,32,5.9,7.2,12.6,88,87.6,14.38,1,10,4.88,6.13,6.3,,,2007
72,Brad Johnson,DAL,39,,16,0,,7,11,63.6,79,0,0,0,0,35,7.2,7.2,11.3,4.9,85,16.14,1,9,5.83,5.83,8.3,,,2007
73,Charlie Frye,2TM,26,,1,1,0-1-0,4,10,40,34,0,0,1,10,15,3.4,-1.1,8.5,34,10,,5,31,0.2,-2.8,33.3,0,0,2007
74,Billy Volek,SDG,31,,5,0,,3,10,30,6,0,0,1,10,4,0.6,-3.9,2,1.2,0,0.06,2,7,-0.08,-3.83,16.7,1,1,2007
75,Jared Lorenzen,NYG,26,,2,0,,4,8,50,28,0,0,0,0,9,3.5,3.5,7,14,58.3,1.1,1,5,2.56,2.56,11.1,,,2007
76,Brady Quinn,CLE,23,,1,0,,3,8,37.5,45,0,0,0,0,18,5.6,5.6,15,45,56.8,35.11,0,0,5.63,5.63,0,,,2007
77,Andrew Walter,OAK,25,,1,0,,5,8,62.5,38,0,0,0,0,19,4.8,4.8,7.6,38,74,63.42,0,0,4.75,4.75,0,,,2007
78,Matt Cassel,NWE,25,,6,0,,4,7,57.1,38,0,0,1,14.3,21,5.4,-1,9.5,6.3,32.7,92.52,0,0,5.43,-1,0,,,2007
79,Anthony Wright,NYG,31,,3,0,,1,7,14.3,12,0,0,0,0,12,1.7,1.7,12,4,39.6,1.13,0,0,1.71,1.71,0,,,2007
80,Tyler Thigpen,KAN,23,,1,0,,2,6,33.3,41,0,0,1,16.7,22,6.8,-0.7,20.5,41,18.7,0.16,1,9,4.57,-1.86,14.3,,,2007
