
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
22,Matt Leinart,ARI,23,QB,12,11,4-7-0,214,377,56.8,2547,11,2.9,12,3.2,58,6.8,5.9,11.9,212.3,74.0,50.44,21,158,6.00,5.20,5.3,1,1
23,Matt Hasselbeck,SEA,31,QB,12,12,7-5-0,210,371,56.6,2442,18,4.9,15,4.0,72,6.6,5.7,11.6,203.5,76.0,46.6,34,229,5.46,4.69,8.4,4,5
24,Vince Young*,TEN,23,QB,15,13,8-5-0,184,357,51.5,2199,12,3.4,13,3.6,53,6.2,5.2,12.0,146.6,66.7,52.45,25,129,5.42,4.52,6.5,4,5
25,Tony Romo*,DAL,26,QB,16,10,6-4-0,220,337,65.3,2903,19,5.6,13,3.9,56,8.6,8.0,13.2,181.4,95.1,66.34,21,124,7.76,7.19,5.9,2,3
26,Bruce Gradkowski,TAM,23,QB,13,11,3-8-0,177,328,54.0,1661,9,2.7,9,2.7,53,5.1,4.4,9.4,127.8,65.9,20.78,25,146,4.29,3.65,7.1,2,3
27,Jake Plummer,DEN,32,QB,16,11,7-4-0,175,317,55.2,1994,11,3.5,13,4.1,83,6.3,5.1,11.4,124.6,68.8,38.75,18,111,5.62,4.53,5.4,2,3
28,Donovan McNabb,PHI,30,QB,10,10,5-5-0,180,316,57.0,2647,18,5.7,6,1.9,87,8.4,8.7,14.7,264.7,95.5,57.86,21,140,7.44,7.71,6.2,0,1
29,Andrew Walter,OAK,24,QB,12,8,2-6-0,147,276,53.3,1677,3,1.1,13,4.7,51,6.1,4.2,11.4,139.8,55.8,14.69,46,256,4.41,2.78,14.3,,
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
30,Mark Brunell,WAS,36,QB,10,9,3-6-0,162,260,62.3,1789,8,3.1,4,1.5,74,6.9,6.8,11.0,178.9,86.5,42.53,12,92,6.24,6.17,4.4,1,1
31,Damon Huard,KAN,33,QB,10,8,5-3-0,148,244,60.7,1878,11,4.5,1,0.4,78,7.7,8.4,12.7,187.8,98.0,54.43,16,106,6.82,7.49,6.2,2,3
32,David Garrard,JAX,28,QB,11,10,5-5-0,145,241,60.2,1735,10,4.1,9,3.7,49,7.2,6.3,12.0,157.7,80.5,48.77,20,119,6.19,5.41,7.7,,
33,Jason Campbell,WAS,25,qb,7,7,2-5-0,110,207,53.1,1297,10,4.8,6,2.9,66,6.3,5.9,11.8,185.3,76.5,42.82,7,55,5.80,5.48,3.3,1,1
34,Trent Green,KAN,36,QB,8,8,4-4-0,121,198,61.1,1342,7,3.5,9,4.5,39,6.8,5.4,11.1,167.8,74.1,36.46,24,127,5.47,4.28,10.8,1,1
35,Aaron Brooks,OAK,30,QB,8,8,0-8-0,110,192,57.3,1105,3,1.6,8,4.2,57,5.8,4.2,10.0,138.1,61.7,24.4,26,174,4.27,2.89,11.9,,
