Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,year
38,Anthony Wright,DAL,25,,4,3,1/2/2000,48,98,49,529,5,5.1,5,5.1,80,5.4,4.1,11,132.3,61.1,5,30,4.84,3.63,4.9,1,1,2001
39,Spergon Wynn,MIN,23,,3,2,0-2-0,48,98,49,418,1,1,6,6.1,47,4.3,1.7,8.7,139.3,38.6,10,65,3.27,0.95,9.3,,,2001
40,Todd Bouman,MIN,29,,5,3,1/2/2000,51,89,57.3,795,8,9,4,4.5,80,8.9,8.7,15.6,159,98.3,4,27,8.26,8.04,4.3,,,2001
41,Randall Cunningham,BAL,38,,6,2,2-0-0,54,89,60.7,573,3,3.4,2,2.2,30,6.4,6.1,10.6,95.5,81.3,12,66,5.02,4.72,11.9,1,2,2001
42,Ryan Leaf,DAL,25,,4,3,0-3-0,45,88,51.1,494,1,1.1,3,3.4,38,5.6,4.3,11,123.5,57.7,12,82,4.12,2.97,12,,,2001
43,Neil O'Donnell,TEN,35,,5,1,0-1-0,42,76,55.3,496,2,2.6,2,2.6,35,6.5,5.9,11.8,99.2,73.1,6,58,5.34,4.73,7.3,,,2001
44,Drew Bledsoe,NWE,29,,2,2,0-2-0,40,66,60.6,400,2,3,2,3,58,6.1,5.3,10,200,75.3,5,21,5.34,4.63,7,,,2001
45,Jonathan Quinn,JAX,26,,6,1,0-1-0,32,61,52.5,361,1,1.6,1,1.6,45,5.9,5.5,11.3,60.2,69.1,6,43,4.75,4.37,9,,,2001
46,Clint Stoerner,DAL,24,,4,2,1/1/2000,26,49,53.1,314,3,6.1,5,10.2,28,6.4,3,12.1,78.5,53.8,5,22,5.41,2.35,9.3,,,2001
47,Gus Frerotte,DEN,30,,4,1,0-1-0,30,48,62.5,308,3,6.3,0,0,26,6.4,7.7,10.3,77,101.7,3,21,5.63,6.8,5.9,,,2001
48,Jeff George,WAS,34,,2,2,0-2-0,23,42,54.8,168,0,0,3,7.1,17,4,0.8,7.3,84,34.6,6,38,2.71,-0.1,12.5,,,2001
49,Travis Brown,BUF,24,,1,0,,15,33,45.5,201,1,3,2,6.1,34,6.1,4,13.4,201,50.2,1,2,5.85,3.79,2.9,,,2001
50,Shaun King,TAM,24,,3,0,,21,31,67.7,210,0,0,1,3.2,42,6.8,5.3,10,70,73.3,3,29,5.32,4,8.8,,,2001
51,Matt Lytle,CAR,26,,3,1,0-1-0,17,30,56.7,133,1,3.3,3,10,28,4.4,0.6,7.8,44.3,39.3,3,24,3.3,-0.18,9.1,,,2001
52,Drew Brees,SDG,22,,1,0,,15,27,55.6,221,1,3.7,0,0,40,8.2,8.9,14.7,221,94.8,2,12,7.21,7.9,6.9,,,2001
53,Chad Pennington,NYJ,25,,2,0,,10,20,50,92,1,5,0,0,24,4.6,5.6,9.2,46,79.6,1,8,4,4.95,4.8,,,2001
54,Kent Graham,WAS,33,,3,0,,13,19,68.4,131,2,10.5,0,0,16,6.9,9,10.1,43.7,122.9,2,16,5.48,7.38,9.5,2,2,2001
55,Brock Huard,SEA,25,,1,0,,9,17,52.9,127,1,5.9,0,0,44,7.5,8.6,14.1,127,96.9,1,5,6.78,7.89,5.6,,,2001
56,Koy Detmer,PHI,28,,16,0,,5,14,35.7,51,0,0,1,7.1,16,3.6,0.4,10.2,3.2,17.3,1,9,2.8,-0.2,6.7,,,2001
57,A.J. Feeley,PHI,24,,1,0,,10,14,71.4,143,2,14.3,1,7.1,27,10.2,9.9,14.3,143,114,0,0,10.21,9.86,0,1,1,2001
58,Kelly Holcomb,CLE,28,,1,0,,7,12,58.3,114,1,8.3,0,0,25,9.5,11.2,16.3,114,118.1,0,0,9.5,11.17,0,,,2001
59,Jarious Jackson,DEN,24,,1,0,,7,12,58.3,73,0,0,0,0,19,6.1,6.1,10.4,73,76,1,6,5.15,5.15,7.7,,,2001
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,2001
60,Scott Mitchell,CIN,33,,1,0,,4,12,33.3,38,0,0,3,25,16,3.2,-8.1,9.5,38,3.5,2,15,1.64,-8,14.3,,,2001
61,Tommy Maddox,PIT,30,,3,0,,7,9,77.8,154,1,11.1,1,11.1,57,17.1,14.3,22,51.3,116.2,1,4,15,12.5,10,,,2001
62,Mark Rypien,IND,39,,4,0,,5,9,55.6,57,0,0,0,0,21,6.3,6.3,11.4,14.3,74.8,1,6,5.1,5.1,10,,,2001
63,Dameyune Craig,CAR,27,,2,0,,4,8,50,34,0,0,0,0,18,4.3,4.3,8.5,17,61.5,2,15,1.9,1.9,20,,,2001
64,Akili Smith,CIN,26,,2,1,0-1-0,5,8,62.5,37,0,0,0,0,14,4.6,4.6,7.4,18.5,73.4,1,3,3.78,3.78,11.1,,,2001
65,Doug Johnson,ATL,24,,3,0,,3,5,60,23,1,20,0,0,14,4.6,8.6,7.7,7.7,110.8,2,13,1.43,4.29,28.6,1,1,2001
66,Todd Collins,KAN,30,,1,0,,3,4,75,40,0,0,0,0,26,10,10,13.3,40,106.2,0,0,10,10,0,,,2001
67,Marques Tuiasosopo,OAK,22,,1,0,,3,4,75,34,0,0,0,0,15,8.5,8.5,11.3,34,100,0,0,8.5,8.5,0,,,2001
68,Ray Lucas,MIA,29,,10,0,,2,3,66.7,45,0,0,0,0,28,15,15,22.5,4.5,109.7,0,0,15,15,0,0,0,2001
69,Jamie Martin,STL,31,,5,0,,3,3,100,22,0,0,0,0,10,7.3,7.3,7.3,4.4,97.2,2,7,3,3,40,,,2001
70,Billy Volek,TEN,25,,1,0,,0,3,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2001
71,Jerome Bettis*,PIT,29,RB,11,11,,1,2,50,32,1,50,0,0,32,16,26,32,2.9,135.4,0,0,16,26,0,,,2001
72,Marty Booker,CHI,25,WR,16,16,,1,2,50,34,1,50,0,0,34,17,27,34,2.1,135.4,0,0,17,27,0,,,2001
73,Jeff Feagles,SEA,35,,16,0,,0,2,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2001
74,Mike Green,TEN,25,,16,1,,0,2,0,0,0,0,2,100,0,0,-45,,0,0,0,0,0,-45,0,,,2001
