name,team,age,position,games_played,games_started,record,completions,attempts,completionPct,passing_yards,passing_TD,passing_TDPct,passing_INT,passing_INTPct,passing_long,passing_ydsAtt,passing_airydsAtt,passing_ydsComp,passing_ydsGame,passing_rating,passing_sacks,passing_sacksyds,passing_netyds,passing_airnetydsAtt,passing_sackPct,4thQC,gamewinningdrives,year
Todd Sauerbrun*,CAR,30,NAN,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2003
Bill Schroeder,DET,32,WR,16,13,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2003
Rod Smith,DEN,33,WR,15,15,,1,1,100,72,0,0,0,0,72,72,72,72,4.8,118.7,0,0,72,72,0,,,2003
Dan Stryzinski,NYJ,38,NAN,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2003
LaDainian Tomlinson,SDG,24,RB,16,16,,1,1,100,21,1,100,0,0,21,21,41,21,1.3,158.3,0,0,21,41,0,,,2003
Cedrick Wilson,SFO,25,NAN,16,4,,1,1,100,6,0,0,0,0,6,6,6,6,0.4,91.7,0,0,6,6,0,,,2003
Trent Green,KAN,34,QB,16,16,7/9/2000,369,556,66.4,4591,27,4.9,17,3.1,70,8.3,7.9,12.4,286.9,95.2,32,227,7.42,7.04,5.4,3,3,2004
Daunte Culpepper*,MIN,27,QB,16,16,8/8/2000,379,548,69.2,4717,39,7.1,11,2,82,8.6,9.1,12.4,294.8,110.9,46,238,7.54,8.02,7.7,1,3,2004
Aaron Brooks,NOR,28,QB,16,16,8/8/2000,309,542,57,3810,21,3.9,16,3,57,7,6.5,12.3,238.1,79.5,41,223,6.15,5.64,7,3,5,2004
Brett Favre,GNB,35,QB,16,16,10/6/2000,346,540,64.1,4088,30,5.6,17,3.1,79,7.6,7.3,11.8,255.5,92.4,12,93,7.24,6.94,2.2,3,4,2004
Jake Delhomme,CAR,29,QB,16,16,7/9/2000,310,533,58.2,3886,29,5.4,15,2.8,63,7.3,7.1,12.5,242.9,87.3,33,246,6.43,6.26,5.8,2,3,2004
Jake Plummer,DEN,30,QB,16,16,10/6/2000,303,521,58.2,4089,27,5.2,20,3.8,85,7.8,7.2,13.5,255.6,84.5,15,90,7.46,6.79,2.8,1,4,2004
Kerry Collins,OAK,32,QB,14,13,3/10/2000,289,513,56.3,3495,21,4.1,20,3.9,63,6.8,5.9,12.1,249.6,74.8,25,144,6.23,5.34,4.6,1,2,2004
Peyton Manning*+,IND,28,QB,16,16,12/4/2000,336,497,67.6,4557,49,9.9,10,2,80,9.2,10.2,13.6,284.8,121.1,13,101,8.74,9.78,2.5,2,4,2004
Vinny Testaverde,DAL,41,QB,16,15,5/10/2000,297,495,60,3532,17,3.4,20,4,53,7.1,6,11.9,220.8,76.4,34,182,6.33,5.27,6.4,2,3,2004
Joey Harrington,DET,26,QB,16,16,6/10/2000,274,489,56,3047,19,3.9,12,2.5,62,6.2,5.9,11.1,190.4,77.5,36,196,5.43,5.13,6.9,1,1,2004
Marc Bulger,STL,27,QB,14,14,8/6/2000,321,485,66.2,3964,21,4.3,14,2.9,56,8.2,7.7,12.3,283.1,93.7,41,302,6.96,6.56,7.8,4,5,2004
Tom Brady*,NWE,27,QB,16,16,14-2-0,288,474,60.8,3692,28,5.9,14,3,50,7.8,7.6,12.8,230.8,92.6,26,162,7.06,6.92,5.2,0,2,2004
Matt Hasselbeck,SEA,29,QB,14,14,7/7/2000,279,474,58.9,3382,22,4.6,15,3.2,60,7.1,6.6,12.1,241.6,83.1,30,155,6.4,5.94,6,,,2004
Donovan McNabb*,PHI,28,QB,15,15,13-2-0,300,469,64,3875,31,6.6,8,1.7,80,8.3,8.8,12.9,258.3,104.7,32,192,7.35,7.87,6.4,2,2,2004
David Carr,HOU,25,QB,16,16,7/9/2000,285,466,61.2,3531,16,3.4,14,3,69,7.6,6.9,12.4,220.7,83.5,49,301,6.27,5.67,9.5,1,1,2004
Kyle Boller,BAL,23,QB,16,16,9/7/2000,258,464,55.6,2559,13,2.8,11,2.4,57,5.5,5,9.9,159.9,70.9,35,247,4.63,4.16,7,2,2,2004
Drew Bledsoe,BUF,32,QB,16,16,9/7/2000,256,450,56.9,2932,20,4.4,16,3.6,69,6.5,5.8,11.5,183.3,76.6,37,215,5.58,4.92,7.6,,,2004
Byron Leftwich,JAX,24,QB,14,14,8/6/2000,267,441,60.5,2941,15,3.4,10,2.3,65,6.7,6.3,11,210.1,82.2,25,114,6.07,5.74,5.4,4,4,2004
Carson Palmer,CIN,25,QB,13,13,6/7/2000,263,432,60.9,2897,18,4.2,18,4.2,76,6.7,5.7,11,222.8,77.3,25,178,5.95,4.96,5.5,2,3,2004
Josh McCown,ARI,25,QB,14,13,6/7/2000,233,408,57.1,2511,11,2.7,10,2.5,48,6.2,5.6,10.8,179.4,74.1,31,263,5.12,4.6,7.1,2,2,2004
Drew Brees*,SDG,25,QB,15,15,11/4/2000,262,400,65.5,3159,27,6.8,7,1.8,79,7.9,8.5,12.1,210.6,104.8,18,131,7.24,7.78,4.3,1,2,2004
Chad Pennington,NYJ,28,QB,13,13,8/5/2000,242,370,65.4,2673,16,4.3,9,2.4,48,7.2,7,11,205.6,91,18,103,6.62,6.4,4.6,2,3,2004
Billy Volek,TEN,28,QB,10,8,2/6/2000,218,357,61.1,2486,18,5,10,2.8,48,7,6.7,11.4,248.6,87.1,30,216,5.87,5.63,7.8,,,2004
A.J. Feeley,MIA,27,QB,11,8,3/5/2000,191,356,53.7,1893,11,3.1,15,4.2,38,5.3,4,9.9,172.1,61.7,23,136,4.64,3.44,6.1,2,3,2004
Brian Griese,TAM,29,QB,11,10,4/6/2000,233,336,69.3,2632,20,6,12,3.6,68,7.8,7.4,11.3,239.3,97.5,26,169,6.8,6.42,7.2,1,1,2004
Tim Rattay,SFO,27,QB,9,9,1/8/2000,198,325,60.9,2169,10,3.1,10,3.1,65,6.7,5.9,11,241,78.1,37,211,5.41,4.72,10.2,1,1,2004
Michael Vick*,ATL,24,QB,15,15,11/4/2000,181,321,56.4,2313,14,4.4,12,3.7,62,7.2,6.4,12.8,154.2,78.1,46,266,5.58,4.87,12.5,3,4,2004
Ben Roethlisberger,PIT,22,QB,14,13,13-0-0,196,295,66.4,2621,17,5.8,11,3.7,58,8.9,8.4,13.4,187.2,98.1,30,213,7.41,6.93,9.2,5,6,2004
Kurt Warner,NYG,33,QB,10,9,5/4/2000,174,277,62.8,2054,6,2.2,4,1.4,62,7.4,7.2,11.8,205.4,86.5,39,196,5.88,5.69,12.3,0,1,2004
Patrick Ramsey,WAS,25,QB,9,7,3/4/2000,169,272,62.1,1665,10,3.7,11,4,51,6.1,5,9.9,185,74.8,23,137,5.18,4.18,7.8,,,2004
Jeff Garcia,CLE,34,QB,11,10,3/7/2000,144,252,57.1,1731,10,4,9,3.6,99,6.9,6.1,12,157.4,76.7,24,99,5.91,5.17,8.7,1,1,2004
Mark Brunell,WAS,34,QB,9,9,3/6/2000,118,237,49.8,1194,7,3,6,2.5,49,5,4.5,10.1,132.7,63.9,15,105,4.32,3.81,6,0,1,2004
Ken Dorsey,SFO,23,QB,8,7,1/6/2000,123,226,54.4,1231,6,2.7,9,4,59,5.4,4.2,10,153.9,62.4,13,94,4.76,3.56,5.4,0,1,2004
Steve McNair,TEN,31,QB,8,8,3/5/2000,129,215,60,1343,8,3.7,9,4.2,37,6.2,5.1,10.4,167.9,73.1,13,95,5.47,4.4,5.7,1,1,2004
Eli Manning,NYG,23,QB,9,7,1/6/2000,95,197,48.2,1043,6,3,9,4.6,52,5.3,3.8,11,115.9,55.4,13,83,4.57,3.21,6.2,1,1,2004
Jay Fiedler,MIA,33,QB,8,7,1/6/2000,101,190,53.2,1186,7,3.7,8,4.2,71,6.2,5.1,11.7,148.3,67.1,25,165,4.75,3.73,11.6,,,2004
Chad Hutchinson,CHI,27,QB,5,5,1/4/2000,92,161,57.1,903,4,2.5,3,1.9,63,5.6,5.3,9.8,180.6,73.6,23,160,4.04,3.74,12.5,,,2004
Craig Krenzel,CHI,23,QB,6,5,3/2/2000,59,127,46.5,718,3,2.4,6,4.7,49,5.7,4,12.2,119.7,52.5,23,158,3.73,2.33,15.3,1,1,2004
Jon Kitna,CIN,32,NAN,4,3,2/1/2000,61,104,58.7,623,5,4.8,4,3.8,30,6,5.2,10.2,155.8,75.9,6,41,5.29,4.56,5.5,1,1,2004
Brad Johnson,TAM,36,NAN,4,4,0-4-0,65,103,63.1,674,3,2.9,3,2.9,54,6.5,5.8,10.4,168.5,79.5,8,55,5.58,4.9,7.2,,,2004
Luke McCown,CLE,23,NAN,5,4,0-4-0,48,98,49,608,4,4.1,7,7.1,58,6.2,3.8,12.7,121.6,52.6,12,122,4.42,2.28,10.9,,,2004
Jonathan Quinn,CHI,29,NAN,5,3,0-3-0,51,98,52,413,1,1,3,3.1,32,4.2,3,8.1,82.6,53.7,15,109,2.69,1.67,13.3,,,2004
Kelly Holcomb,CLE,31,NAN,4,2,1/1/2000,59,87,67.8,737,7,8,5,5.7,55,8.5,7.5,12.5,184.3,96.8,5,31,7.67,6.75,5.4,,,2004
Rex Grossman,CHI,24,NAN,3,3,1/2/2000,47,84,56,607,1,1.2,3,3.6,40,7.2,5.9,12.9,202.3,67.9,5,22,6.57,5.28,5.6,,,2004
Shaun King,ARI,27,NAN,3,2,0-2-0,47,84,56,502,1,1.2,4,4.8,40,6,4.1,10.7,167.3,57.7,6,42,5.11,3.33,6.7,,,2004
Chris Simms,TAM,24,NAN,5,2,1/1/2000,42,73,57.5,467,1,1.4,3,4.1,75,6.4,4.8,11.1,93.4,64.1,10,75,4.72,3.34,12,,,2004
David Garrard,JAX,26,NAN,4,2,1/1/2000,38,72,52.8,374,2,2.8,1,1.4,36,5.2,5.1,9.8,93.5,71.2,6,35,4.35,4.28,7.7,0,1,2004
Matt Schaub,ATL,23,NAN,6,1,0-1-0,33,70,47.1,330,1,1.4,4,5.7,59,4.7,2.4,10,55,42,4,14,4.27,2.11,5.4,,,2004
Rich Gannon,OAK,39,NAN,3,3,2/1/2000,41,68,60.3,524,3,4.4,2,2.9,58,7.7,7.3,12.8,174.7,86.9,5,17,6.95,6.53,6.8,,,2004
Chris Chandler,STL,39,NAN,5,2,0-2-0,35,62,56.5,463,2,3.2,8,12.9,75,7.5,2.3,13.2,92.6,51.4,7,54,5.93,1.29,10.1,,,2004
Tommy Maddox,PIT,33,NAN,4,3,2/1/2000,30,60,50,329,1,1.7,2,3.3,39,5.5,4.3,11,82.3,58.3,6,37,4.42,3.36,9.1,0,1,2004
Quincy Carter,NYJ,27,NAN,7,3,2/1/2000,35,58,60.3,498,3,5.2,1,1.7,69,8.6,8.8,14.2,71.1,98.2,12,70,6.11,6.33,17.1,1,1,2004
Trent Dilfer,SEA,32,NAN,5,2,2-0-0,25,58,43.1,333,1,1.7,3,5.2,56,5.7,3.8,13.3,66.6,46.1,4,21,5.03,3.18,6.5,0,0,2004
Koy Detmer,PHI,31,NAN,16,1,0-1-0,18,40,45,207,0,0,2,5,31,5.2,2.9,11.5,12.9,40.3,2,16,4.55,2.4,4.8,,,2004
John Navarre,ARI,24,NAN,1,1,0-1-0,18,40,45,168,1,2.5,4,10,33,4.2,0.2,9.3,168,25.8,1,8,3.9,0,2.4,,,2004
Sage Rosenfels,MIA,26,NAN,3,1,0-1-0,16,39,41,264,1,2.6,3,7.7,76,6.8,3.8,16.5,88,41,3,16,5.9,3.17,7.1,,,2004
Doug Flutie,SDG,42,NAN,2,1,1-0-0,20,38,52.6,276,1,2.6,0,0,29,7.3,7.8,13.8,138,85,1,7,6.9,7.41,2.6,,,2004
Jeff Blake,PHI,34,NAN,3,0,,18,37,48.6,126,1,2.7,1,2.7,21,3.4,2.7,7,42,54.6,2,17,2.79,2.15,5.1,,,2004
Craig Nall,GNB,25,NAN,5,0,,23,33,69.7,314,4,12.1,0,0,43,9.5,11.9,13.7,62.8,139.4,2,8,8.74,11.03,5.7,,,2004
Jamie Martin,STL,34,NAN,1,0,,16,30,53.3,188,0,0,0,0,26,6.3,6.3,11.8,188,72.6,2,6,5.69,5.69,6.3,,,2004
Jim Sorgi,IND,24,NAN,4,0,,17,29,58.6,175,2,6.9,0,0,71,6,7.4,10.3,43.8,99.1,1,8,5.57,6.9,3.3,,,2004
Doug Pederson,GNB,36,NAN,4,0,,11,23,47.8,120,0,0,2,8.7,24,5.2,1.3,10.9,30,27.4,0,0,5.22,1.3,0,,,2004
Drew Henson,DAL,24,NAN,7,1,1-0-0,10,18,55.6,78,1,5.6,1,5.6,16,4.3,2.9,7.8,11.1,61.8,2,26,2.6,1.35,10,,,2004
Mike McMahon,DET,25,NAN,1,0,,11,15,73.3,77,0,0,1,6.7,19,5.1,2.1,7,77,56.8,1,12,4.06,1.25,6.3,,,2004
Doug Johnson,TEN,27,NAN,2,0,,6,12,50,68,0,0,0,0,33,5.7,5.7,11.3,34,67.4,1,6,4.77,4.77,7.7,,,2004
Rohan Davey,NWE,26,NAN,4,0,,4,10,40,54,0,0,0,0,20,5.4,5.4,13.5,13.5,57.9,0,0,5.4,5.4,0,,,2004
Cody Pickett,SFO,24,NAN,1,0,,4,10,40,55,0,0,2,20,18,5.5,-3.5,13.8,55,18.7,2,14,3.42,-4.08,16.7,,,2004
Brooks Bollinger,NYJ,25,NAN,1,0,,5,9,55.6,60,0,0,0,0,26,6.7,6.7,12,60,76.2,1,8,5.2,5.2,10,,,2004
Philip Rivers,SDG,23,NAN,2,0,,5,8,62.5,33,1,12.5,0,0,13,4.1,6.6,6.6,16.5,110.9,0,0,4.13,6.63,0,,,2004
Todd Collins,KAN,33,NAN,2,0,,1,5,20,42,0,0,0,0,42,8.4,8.4,42,21,62.1,0,0,8.4,8.4,0,,,2004
J.P. Losman,BUF,23,NAN,4,0,,3,5,60,32,0,0,1,20,17,6.4,-2.6,10.7,8,39.2,1,0,5.33,-2.17,16.7,,,2004
Craig Hentrich,TEN,33,NAN,16,0,,2,4,50,10,0,0,0,0,6,2.5,2.5,5,0.6,56.2,0,0,2.5,2.5,0,,,2004
Jabar Gaffney,HOU,24,WR,16,12,,0,3,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2004
Rod Gardner,WAS,27,WR,16,14,,0,3,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2004
Shane Matthews,BUF,34,NAN,3,0,,2,3,66.7,44,1,33.3,0,0,33,14.7,21.3,22,14.7,149.3,0,0,14.67,21.33,0,,,2004
Chris Mohr,ATL,38,NAN,16,0,,2,3,66.7,24,0,0,0,0,26,8,8,12,1.5,91,0,0,8,8,0,,,2004
Brian Moorman,BUF,28,NAN,16,0,,1,3,33.3,24,0,0,0,0,24,8,8,24,1.5,63.2,0,0,8,8,0,,,2004
Tony Banks,HOU,31,NAN,5,0,,1,2,50,16,0,0,0,0,16,8,8,16,3.2,77.1,0,0,8,8,0,,,2004
Isaac Bruce,STL,32,WR,16,16,,0,2,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2004
Keyshawn Johnson,DAL,32,WR,16,16,,0,2,0,0,0,0,1,50,0,0,-22.5,,0,0,0,0,0,-22.5,0,,,2004
Randy Moss,MIN,27,WR,13,13,,1,2,50,37,0,0,1,50,37,18.5,-4,37,2.8,56.2,0,0,18.5,-4,0,,,2004
Clinton Portis,WAS,23,RB,15,15,,1,2,50,15,1,50,0,0,15,7.5,17.5,15,1,114.6,0,0,7.5,17.5,0,,,2004
LaDainian Tomlinson*+,SDG,25,RB,15,15,,1,2,50,38,0,0,0,0,38,19,19,38,2.5,95.8,1,1,12.33,12.33,33.3,,,2004
Richie Anderson,DAL,33,NAN,12,4,,1,1,100,26,1,100,0,0,26,26,46,26,2.2,158.3,0,0,26,46,0,,,2004
Mike Bartrum,PHI,34,NAN,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2004
Drew Bennett,TEN,26,WR,16,16,,1,1,100,26,1,100,0,0,26,26,46,26,1.6,158.3,0,0,26,46,0,,,2004
Jerome Bettis*,PIT,32,RB,15,6,,1,1,100,10,1,100,0,0,10,10,30,10,0.7,147.9,0,0,10,30,0,,,2004
Marty Booker,MIA,28,WR,15,15,,1,1,100,48,0,0,0,0,48,48,48,48,3.2,118.7,0,0,48,48,0,,,2004
Patrick Crayton,DAL,25,NAN,8,0,,0,1,0,0,0,0,1,100,0,0,-45,,0,0,0,0,0,-45,0,,,2004
Ronald Curry,OAK,25,NAN,12,3,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2004
Adimchinobe Echemandu,CLE,24,NAN,4,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2004
Paul Edinger,CHI,26,NAN,16,0,,0,1,0,0,0,0,1,100,0,0,-45,,0,0,0,0,0,-45,0,,,2004
Jeff Feagles,NYG,38,NAN,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2004
Tony Fisher,GNB,25,NAN,16,0,,1,1,100,8,1,100,0,0,8,8,28,8,0.5,139.6,0,0,8,28,0,,,2004
Gus Frerotte,MIN,33,NAN,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2004
Terry Glenn,DAL,30,WR,6,6,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2004
Ahman Green*,GNB,27,RB,15,15,,1,1,100,20,1,100,0,0,20,20,40,20,1.3,158.3,0,0,20,40,0,,,2004
Randy Hymes,BAL,25,WR,14,7,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2004
Frisman Jackson,CLE,25,NAN,10,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2004
LaMont Jordan,NYJ,26,NAN,16,0,,0,1,0,0,0,0,1,100,0,0,-45,,0,0,0,0,0,-45,0,,,2004
Mat McBriar,DAL,25,NAN,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2004
Keenan McCardell,SDG,34,WR,7,6,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2004
Mewelde Moore,MIN,22,NAN,10,3,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2004
Rodney Peete,CAR,38,NAN,1,0,,1,1,100,3,0,0,0,0,3,3,3,3,3,79.2,0,0,3,3,0,,,2004
Peerless Price,ATL,28,WR,16,15,,1,1,100,25,0,0,0,0,25,25,25,25,1.6,118.7,0,0,25,25,0,,,2004
Ricky Proehl,CAR,36,NAN,16,3,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2004
Antwaan Randle El,PIT,25,WR,16,7,,1,1,100,10,1,100,0,0,10,10,30,10,0.6,147.9,0,0,10,30,0,,,2004
Jeff Saturday,IND,29,C,14,14,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2004
Mike Scifres,SDG,24,NAN,16,0,,0,1,0,0,0,0,1,100,0,0,-45,,0,0,0,0,0,-45,0,,,2004
Emmitt Smith,ARI,35,RB,15,15,,1,1,100,21,1,100,0,0,21,21,41,21,1.4,158.3,0,0,21,41,0,,,2004
Steve Smith,CAR,25,NAN,1,1,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2004
Brian St. Pierre,PIT,25,NAN,1,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,1,1,2004
Adam Vinatieri*+,NWE,32,NAN,16,0,,1,1,100,4,1,100,0,0,4,4,24,4,0.3,122.9,0,0,4,24,0,,,2004
Jeff Wilkins,STL,32,NAN,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2004
Roy Williams,DET,23,WR,14,12,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,,2004
Brett Favre,GNB,36,QB,16,16,4/12/2000,372,607,61.3,3881,20,3.3,29,4.8,59,6.4,4.9,10.4,242.6,70.9,24,170,5.88,4.45,3.8,1,1,2005
Kerry Collins,OAK,33,QB,15,15,4/11/2000,302,565,53.5,3759,20,3.5,12,2.1,79,6.7,6.4,12.4,250.6,77.3,39,261,5.79,5.56,6.5,1,1,2005
Eli Manning,NYG,24,QB,16,16,11/5/2000,294,557,52.8,3762,24,4.3,17,3.1,78,6.8,6.2,12.8,235.1,75.9,28,184,6.12,5.63,4.8,1,2,2005
Tom Brady*,NWE,28,QB,16,16,10/6/2000,334,530,63,4110,26,4.9,14,2.6,71,7.8,7.5,12.3,256.9,92.3,26,188,7.05,6.86,4.7,3,4,2005
Carson Palmer*,CIN,26,QB,16,16,11/5/2000,345,509,67.8,3836,32,6.3,12,2.4,70,7.5,7.7,11.1,239.8,101.1,19,105,7.07,7.26,3.6,1,3,2005
Trent Green*,KAN,35,QB,16,16,10/6/2000,317,507,62.5,4014,17,3.4,10,2,60,7.9,7.7,12.7,250.9,90.1,32,204,7.07,6.86,5.9,2,3,2005
Drew Brees,SDG,26,QB,16,16,9/7/2000,323,500,64.6,3576,24,4.8,15,3,54,7.2,6.8,11.1,223.5,89.2,27,223,6.36,5.99,5.1,2,2,2005
Drew Bledsoe,DAL,33,QB,16,16,9/7/2000,300,499,60.1,3639,23,4.6,17,3.4,71,7.3,6.7,12.1,227.4,83.7,49,295,6.1,5.55,8.9,4,5,2005
Gus Frerotte,MIA,34,QB,16,15,9/6/2000,257,494,52,2996,18,3.6,13,2.6,60,6.1,5.6,11.7,187.3,71.9,26,158,5.46,5.03,5,0,1,2005
Steve McNair*,TEN,32,QB,14,14,4/10/2000,292,476,61.3,3161,16,3.4,11,2.3,57,6.6,6.3,10.8,225.8,82.4,20,134,6.1,5.75,4,0,1,2005
Jake Plummer*,DEN,31,QB,16,16,13-3-0,277,456,60.7,3366,18,3.9,7,1.5,72,7.4,7.5,12.2,210.4,90.2,22,135,6.76,6.85,4.6,1,2,2005
Mark Brunell,WAS,35,QB,16,15,9/6/2000,262,454,57.7,3050,23,5.1,10,2.2,78,6.7,6.7,11.6,190.6,85.9,27,213,5.9,5.92,5.6,2,3,2005
Peyton Manning*+,IND,29,QB,16,16,14-2-0,305,453,67.3,3747,28,6.2,10,2.2,80,8.3,8.5,12.3,234.2,104.1,17,81,7.8,8.03,3.6,1,1,2005
Matt Hasselbeck*,SEA,30,QB,16,16,13-3-0,294,449,65.5,3459,24,5.3,9,2,56,7.7,7.9,11.8,216.2,98.2,24,154,6.99,7.15,5.1,2,2,2005
Jake Delhomme*,CAR,30,QB,16,16,11/5/2000,262,435,60.2,3421,24,5.5,16,3.7,80,7.9,7.3,13.1,213.8,88.1,28,214,6.93,6.41,6,3,3,2005
Aaron Brooks,NOR,29,QB,13,13,3/10/2000,240,431,55.7,2882,13,3,17,3.9,66,6.7,5.5,12,221.7,70,33,202,5.78,4.69,7.1,1,2,2005
David Carr,HOU,26,QB,16,16,2/14/2000,256,423,60.5,2488,14,3.3,11,2.6,53,5.9,5.4,9.7,155.5,77.2,68,424,4.2,3.77,13.8,0,1,2005
Michael Vick*,ATL,25,QB,15,15,8/7/2000,214,387,55.3,2412,15,3.9,13,3.4,58,6.2,5.5,11.3,160.8,73.1,33,201,5.26,4.59,7.9,0,1,2005
Kurt Warner,ARI,34,QB,10,10,2/8/2000,242,375,64.5,2713,11,2.9,9,2.4,63,7.2,6.7,11.2,271.3,85.8,23,158,6.42,5.95,5.8,2,2,2005
Kyle Orton,CHI,23,QB,15,15,10/5/2000,190,368,51.6,1869,9,2.4,13,3.5,54,5.1,4,9.8,124.6,59.7,30,190,4.22,3.2,7.5,0,1,2005
Donovan McNabb,PHI,29,QB,9,9,4/5/2000,211,357,59.1,2507,16,4.5,9,2.5,91,7,6.8,11.9,278.6,85,19,112,6.37,6.14,5.1,0,2,2005
Trent Dilfer,CLE,33,QB,11,11,4/7/2000,199,333,59.8,2321,11,3.3,12,3.6,80,7,6,11.7,211,76.9,23,139,6.13,5.23,6.5,1,1,2005
Joey Harrington,DET,27,QB,12,11,4/7/2000,188,330,57,2021,12,3.6,12,3.6,86,6.1,5.2,10.8,168.4,72,24,136,5.32,4.48,6.8,1,1,2005
Chris Simms,TAM,25,QB,11,10,6/4/2000,191,313,61,2035,10,3.2,7,2.2,78,6.5,6.1,10.7,185,81.4,29,205,5.35,5.01,8.5,3,3,2005
Byron Leftwich,JAX,25,QB,11,11,8/3/2000,175,302,57.9,2123,15,5,5,1.7,45,7,7.3,12.1,193,89.3,23,110,6.19,6.42,7.1,2,3,2005
Brad Johnson,MIN,37,QB,15,9,7/2/2000,184,294,62.6,1885,12,4.1,4,1.4,80,6.4,6.6,10.2,125.7,88.9,23,134,5.52,5.71,7.3,0,2,2005
Kyle Boller,BAL,24,QB,9,9,4/5/2000,171,293,58.4,1799,11,3.8,12,4.1,47,6.1,5,10.5,199.9,71.8,23,146,5.23,4.22,7.3,2,3,2005
Marc Bulger,STL,28,QB,8,8,2/6/2000,192,287,66.9,2297,14,4.9,9,3.1,57,8,7.6,12,287.1,94.4,26,188,6.74,6.34,8.3,0,1,2005
Josh McCown,ARI,26,QB,9,6,3/3/2000,163,270,60.4,1836,9,3.3,11,4.1,49,6.8,5.6,11.3,204,74.9,18,101,6.02,4.93,6.3,,,2005
Ben Roethlisberger,PIT,23,QB,12,12,9/3/2000,168,268,62.7,2385,17,6.3,9,3.4,85,8.9,8.7,14.2,198.8,98.6,23,129,7.75,7.53,7.9,2,2,2005
Brooks Bollinger,NYJ,26,QB,11,9,2/7/2000,150,266,56.4,1558,7,2.6,6,2.3,60,5.9,5.4,10.4,141.6,72.9,32,193,4.58,4.14,10.7,1,0,2005
Anthony Wright,BAL,29,QB,9,7,2/5/2000,164,266,61.7,1582,6,2.3,9,3.4,48,5.9,4.9,9.6,175.8,71.7,19,147,5.04,4.04,6.7,,,2005
Kelly Holcomb,BUF,32,QB,10,8,4/4/2000,155,230,67.4,1509,10,4.3,8,3.5,65,6.6,5.9,9.7,150.9,85.6,17,140,5.54,4.89,6.9,1,1,2005
J.P. Losman,BUF,24,QB,9,8,1/7/2000,113,228,49.6,1340,8,3.5,8,3.5,58,5.9,5,11.9,148.9,64.9,26,197,4.5,3.71,10.2,,,2005
Daunte Culpepper,MIN,28,QB,7,7,2/5/2000,139,216,64.4,1564,6,2.8,12,5.6,68,7.2,5.3,11.3,223.4,72,31,169,5.65,3.95,12.6,1,1,2005
Mike McMahon,PHI,26,QB,9,7,2/5/2000,94,207,45.4,1158,5,2.4,8,3.9,48,5.6,4.3,12.3,128.7,55.2,19,96,4.7,3.55,8.4,2,2,2005
Jamie Martin,STL,35,QB,8,5,4/1/2000,124,177,70.1,1277,5,2.8,7,4,83,7.2,6,10.3,159.6,83.5,11,78,6.38,5.23,5.9,2,3,2005
Brian Griese,TAM,30,QB,6,6,5/1/2000,112,174,64.4,1136,7,4,7,4,80,6.5,5.5,10.1,189.3,79.6,12,76,5.7,4.76,6.5,,,2005
Jeff Garcia,DET,35,QB,6,5,1/4/2000,102,173,59,937,3,1.7,6,3.5,49,5.4,4.2,9.2,156.2,65.1,6,34,5.04,3.87,3.4,0,1,2005
David Garrard,JAX,27,QB,7,5,4/1/2000,98,168,58.3,1117,4,2.4,1,0.6,37,6.6,6.9,11.4,159.6,83.9,8,45,6.09,6.29,4.5,2,2,2005
Alex Smith,SFO,21,QB,9,7,2/5/2000,84,165,50.9,875,1,0.6,11,6.7,47,5.3,2.4,10.4,97.2,40.8,29,185,3.56,1.11,14.9,1,2,2005
