
22,Cortez Allen,PIT,26,lcb,11,7,2,27,0,27,11,0,0,1,0,0,,36,5,
23,Dwayne Allen,IND,24,fb/TE,13,13,,,,,,1,1,1,0,0,,2,1,
24,Jared Allen,CHI,32,DE/dt,15,15,0,0,0,0,4,2,0,2,0,0,5.5,37,18,
25,Josh Allen,TAM,23,,3,0,,,,,,0,0,1,0,0,,,,
26,Keenan Allen,SDG,22,WR,14,14,,,,,,0,2,0,0,0,,5,0,
27,Nate Allen,PHI,27,S,15,15,4,45,0,40,5,1,0,3,25,0,1.0,51,11,
28,Ryan Allen,NWE,24,p,16,0,,,,,,0,0,1,0,0,,,,
29,Will Allen,PIT,32,ss,16,4,,,,,,1,0,0,0,0,,22,14,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
30,Tyson Alualu,JAX,27,,16,0,,,,,,,,,,,2.0,13,17,
31,Danny Amendola,NWE,29,wr,16,4,,,,,,0,1,0,0,0,,1,0,
32,David Amerson,WAS,23,RCB,15,15,0,0,0,0,7,,,,,,,52,9,
33,Prince Amukamara,NYG,25,RCB,8,8,3,66,0,38,11,,,,,,,37,8,
34,C.J. Anderson*,DEN,23,rb,15,7,,,,,,0,1,0,0,0,,1,0,
35,Colt Anderson,IND,29,,15,0,,,,,,0,0,1,0,0,,16,3,
36,Derek Anderson,CAR,31,qb,6,2,,,,,,0,2,2,-10,0,,,,
37,James Anderson,3TM,31,,17,0,,,,,,,,,,,,5,1,
38,Antonio Andrews,TEN,23,,4,0,,,,,,,,,,,,1,0,
39,Jason Ankrah,HOU,23,,2,0,,,,,,,,,,,,1,0,
40,Ezekiel Ansah,DET,25,DE,16,16,,,,,,3,0,0,0,0,7.5,39,12,
41,Javier Arenas,ATL,27,,6,0,0,0,0,0,1,,,,,,,9,0,
42,Ray-Ray Armstrong,2TM,23,,15,3,0,0,0,0,1,1,0,0,0,0,,16,4,
43,Kyle Arrington,NWE,28,cb/db/rcb,14,4,0,0,0,0,4,2,0,1,9,1,1.0,41,8,
44,Jon Asamoah,ATL,26,RG,15,15,,,,,,,,,,,,1,0,
45,Larry Asante,OAK,26,ss,6,2,,,,,,1,0,0,0,0,,21,4,
46,Matt Asiata,MIN,27,fb/RB,15,9,,,,,,0,1,1,0,0,,2,0,
47,Geno Atkins*,CIN,26,DT,16,16,0,0,0,0,1,1,0,0,0,0,3.0,22,14,1
48,George Atkinson,OAK,22,,5,0,,,,,,,,,,,,1,0,
49,Jeremiah Attaochu,SDG,21,,11,0,0,0,0,0,1,1,0,0,0,0,2.0,8,2,
50,Marvin Austin,DEN,25,,15,0,,,,,,,,,,,,10,5,
51,Miles Austin,CLE,30,WR,12,11,,,,,,,,,,,,2,0,
52,Tavon Austin,STL,23,WR,15,8,,,,,,0,5,4,0,0,,1,0,
53,Denico Autry,OAK,24,,10,0,,,,,,,,,,,,9,4,
54,Jason Avant,2TM,31,,16,0,,,,,,,,,,,,1,0,
55,Donnie Avery,KAN,30,wr,6,3,,,,,,0,1,0,0,0,,2,0,
56,Cliff Avril,SEA,28,DE,16,16,0,0,0,0,2,1,0,1,0,0,5.0,20,10,
57,Akeem Ayers,2TM,25,,11,4,1,0,0,0,1,,,,,,4.0,18,7,
58,Robert Ayers,NYG,29,de,12,1,0,0,0,0,1,1,0,0,0,0,5.0,18,4,
59,Jason Babin,NYJ,34,de/lb,16,4,,,,,,,,,,,2.0,15,11,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
60,Jonathan Babineaux,ATL,33,DE/dt,15,15,,,,,,,,,,,2.0,15,16,
61,Johnson Bademosi,CLE,24,,14,0,,,,,,,,,,,,5,7,
62,Allen Bailey,KAN,25,DE/dt,14,14,0,0,0,0,2,,,,,,5.0,27,14,
63,Alvin Bailey,SEA,23,lg/lt,14,5,,,,,,0,0,1,0,0,,,,
64,Dan Bailey,DAL,26,k,16,0,,,,,,,,,,,,2,0,
65,Stedman Bailey,STL,24,wr,14,3,,,,,,1,0,0,0,0,,3,0,
66,Brandon Bair,PHI,30,,16,0,0,0,0,0,1,,,,,,1.5,14,3,
67,Chris Baker,WAS,27,de/NT,15,12,,,,,,,,,,,1.0,25,15,
68,Sean Baker,ATL,26,,5,0,,,,,,,,,,,,1,1,
69,David Bakhtiari,GNB,23,LT,16,16,,,,,,,,,,,,1,0,
70,Doug Baldwin,SEA,26,WR,16,16,,,,,,0,1,0,0,0,,2,0,
71,Alan Ball,JAX,29,rcb,7,7,1,0,0,0,3,,,,,,,18,4,
72,Marcus Ball,NOR,27,s,12,2,,,,,,0,0,1,0,0,,12,4,
73,Chris Banjo,GNB,24,,3,0,,,,,,,,,,,,2,1,
74,Johnthan Banks,TAM,25,CB,15,14,4,69,1,32,10,,,,,,,41,9,
75,Joe Banyard,MIN,26,,15,0,,,,,,,,,,,,2,0,
76,Allen Barbre,PHI,30,rt,1,1,,,,,,,,,,,,1,0,
77,Joe Barksdale,STL,25,RT,16,16,,,,,,,,,,,,1,0,
78,Antwan Barnes,NYJ,30,,5,0,,,,,,,,,,,,5,1,
79,Khalif Barnes,OAK,32,lg/RT/t,14,13,,,,,,0,1,0,0,0,,2,0,
80,T.J. Barnes,NYJ,24,,6,0,,,,,,,,,,,,1,0,
81,Gary Barnidge,CLE,29,te,13,2,,,,,,,,,,,,1,1,
82,Anthony Barr,MIN,22,LB,12,12,0,0,0,0,3,2,0,3,27,1,4.0,55,15,
83,Sam Barrington,GNB,24,lb/mlb,14,7,0,0,0,0,2,,,,,,1.0,45,21,
84,Mark Barron,2TM,25,,16,9,0,0,0,0,4,0,1,1,8,0,3.0,56,16,
85,Lamin Barrow,DEN,24,mlb,16,1,,,,,,,,,,,,6,3,
86,Joplo Bartu,ATL,24,LB,16,14,,,,,,0,0,2,0,0,1.0,47,36,
87,Connor Barwin*,PHI,28,LB,16,16,0,0,0,0,5,2,0,0,0,0,14.5,47,17,
88,David Bass,CHI,24,de,8,1,,,,,,1,0,0,0,0,3.0,6,4,
89,Daren Bates,STL,24,,14,0,,,,,,,,,,,,9,1,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
90,Jackie Battle,TEN,31,fb,16,1,,,,,,,,,,,,4,1,
91,Alex Bayer,STL,24,,6,0,,,,,,0,0,1,0,0,,,,
92,Kelvin Beachum,PIT,25,LT,16,16,,,,,,,,,,,,1,0,
93,Zane Beadles,JAX,28,LG,16,16,,,,,,,,,,,,1,0,
94,Cole Beasley,DAL,25,wr,16,2,,,,,,0,2,1,0,0,,,,
95,Jon Beason,NYG,29,mlb,4,4,0,0,0,0,1,,,,,,,6,5,
96,Will Beatty,NYG,29,LT,16,16,,,,,,,,,,,,4,0,
97,Steve Beauharnais,WAS,24,,3,0,,,,,,,,,,,,2,2,
98,Odell Beckham*,NYG,22,WR,12,11,,,,,,0,1,0,0,0,,3,0,
99,Byron Bell,CAR,25,LT,15,15,,,,,,0,0,1,0,0,,1,0,
100,Joique Bell,DET,28,rb,15,6,,,,,,0,5,4,0,0,,2,0,
101,Le'Veon Bell*+,PIT,22,RB,16,16,,,,,,,,,,,,3,0,
102,Nick Bellore,NYJ,25,,16,0,,,,,,,,,,,,11,4,
103,Marcus Benard,ARI,29,,12,0,,,,,,,,,,,1.0,8,2,
104,Kelvin Benjamin,CAR,23,WR,16,15,,,,,,0,1,0,0,0,,2,0,
105,Travis Benjamin,CLE,25,,16,0,,,,,,1,2,2,0,0,,1,0,
106,Martellus Bennett*,CHI,27,TE,16,15,,,,,,,,,,,,1,0,
107,Michael Bennett,SEA,29,DE/ldt,16,16,,,,,,1,0,0,0,0,7.0,31,16,
108,Bene Benwikere,CAR,23,cb/lcb,10,6,1,0,0,0,8,1,0,2,6,0,,26,9,
109,Joe Berger,MIN,32,RG,16,9,,,,,,,,,,,,1,0,
110,Nat Berhe,NYG,23,,16,0,,,,,,0,0,1,0,0,,11,4,
111,Giovani Bernard,CIN,23,RB,13,9,,,,,,1,0,0,0,0,,2,0,
112,Aaron Berry,CLE,26,,1,0,,,,,,,,,,,,1,0,
113,Eric Berry,KAN,26,lcb/ss,6,5,0,0,0,0,2,,,,,,,32,5,
114,Brenton Bersin,CAR,24,wr,15,1,,,,,,0,3,1,0,0,,1,0,
115,Antoine Bethea*,SFO,30,SS,16,16,4,71,1,49,10,1,0,0,0,0,1.0,71,14,
116,Justin Bethel*,ARI,24,,16,0,,,,,,1,0,2,0,0,,22,4,
117,Kroy Biermann,ATL,29,DE/lb,16,15,0,0,0,0,3,1,0,0,0,0,4.5,43,34,
118,E.J. Biggers,WAS,27,cb,15,2,0,0,0,0,4,,,,,,,27,5,
119,Christo Bilukidi,BAL,25,,4,0,,,,,,,,,,,,0,3,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
120,Desmond Bishop,2TM,30,,2,0,,,,,,,,,,,,2,0,
121,Ken Bishop,DAL,24,,3,0,,,,,,,,,,,,4,3,
122,Joel Bitonio,CLE,23,LG,16,16,,,,,,,,,,,,2,0,
123,Chase Blackburn,CAR,31,lb,6,2,,,,,,1,0,0,0,0,,8,4,
124,Will Blackmon,JAX,30,cb/db,8,4,,,,,,1,0,0,0,0,1.0,23,7,
125,Antwon Blake,PIT,24,lcb,16,1,1,0,0,0,6,1,0,1,0,0,,38,5,
126,Robert Blanton,MIN,25,s/SS,15,13,1,1,0,1,3,0,0,1,0,0,,71,34,
127,Alfred Blue,HOU,23,rb,16,3,,,,,,0,0,2,0,0,,3,1,
128,Kenneth Boatright,DAL,24,,1,0,,,,,,,,,,,,1,0,
129,Russell Bodine,CIN,22,C,16,16,,,,,,,,,,,,0,1,
130,Tommy Bohanon,NYJ,24,fb,4,2,,,,,,,,,,,,1,0,
131,Brandon Bolden,NWE,24,rb,16,2,,,,,,1,0,0,0,0,,6,2,
132,Omar Bolden,DEN,26,,15,0,,,,,,0,0,1,0,0,,18,3,
133,Anquan Boldin,SFO,34,WR,16,16,,,,,,,,,,,,2,0,
134,Clint Boling,CIN,25,LG/rt/t,16,16,,,,,,0,0,2,0,0,,3,0,
135,Kevin Boothe,OAK,31,,9,0,,,,,,0,0,1,0,0,,,,
136,Chris Borland,SFO,24,LB,14,8,2,12,0,12,5,0,0,1,0,0,1.0,84,23,
137,Blake Bortles,JAX,22,QB,14,13,,,,,,0,7,3,-6,0,,2,0,
138,Matthew Bosher,ATL,27,p,16,0,,,,,,,,,,,,5,0,
139,Jonathan Bostic,CHI,23,LB,13,8,0,0,0,0,3,,,,,,,58,25,
140,Brandon Bostick,GNB,25,,13,0,,,,,,,,,,,,3,2,
141,Tre Boston,CAR,22,fs,11,5,1,84,1,84,4,,,,,,,22,9,
142,A.J. Bouye,HOU,23,cb/db/lcb,14,6,3,120,1,67,10,1,0,1,0,0,,52,7,
143,Luke Bowanko,JAX,23,C,16,14,,,,,,0,0,1,0,0,,1,0,
144,Dwayne Bowe,KAN,30,te/WR,15,15,,,,,,0,2,1,0,0,,,,
145,Stephen Bowen,WAS,30,de,8,3,0,0,0,0,1,,,,,,,10,1,
146,Da'Quan Bowers,TAM,24,de/dt,11,2,0,0,0,0,1,0,0,1,0,0,1.5,11,10,
147,Zackary Bowman,NYG,30,lcb/rcb,16,5,2,25,0,18,6,0,0,1,6,0,,19,5,
148,Josh Boyd,GNB,25,de,15,4,0,0,0,0,1,,,,,,,10,12,
149,Brandon Boykin,PHI,24,,16,0,1,0,0,0,9,1,0,0,0,0,,36,5,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
150,Jarrett Boykin,GNB,25,wr,13,3,,,,,,2,0,0,0,0,,4,1,
151,Brett Brackett,2TM,27,,8,4,,,,,,,,,,,,1,0,
152,Nigel Bradham,BUF,25,LB,14,14,1,0,0,0,7,2,0,0,0,0,2.5,66,38,
153,Ahmad Bradshaw,IND,28,rb,10,1,,,,,,0,3,3,12,0,,1,0,
154,Tom Brady*,NWE,37,QB,16,16,,,,,,0,6,1,-4,0,,1,0,
155,Bryan Braman,PHI,27,,16,0,,,,,,,,,,,,6,0,
156,Alan Branch,NWE,30,dt,8,2,0,0,0,0,1,,,,,,,14,6,
157,Andre Branch,JAX,25,,9,0,0,0,0,0,3,2,0,1,0,0,3.0,12,6,
158,Tyvon Branch,OAK,28,ss,3,3,0,0,0,0,1,,,,,,1.0,23,6,
159,Bashaud Breeland,WAS,22,cb/LCB/ss,16,15,2,0,0,0,13,2,0,0,0,0,,58,11,
160,Drew Brees*,NOR,35,QB,16,16,,,,,,0,7,4,-22,0,,,,
161,Josh Brent,DAL,26,,1,0,,,,,,,,,,,,3,1,
162,Aaron Brewer,DEN,24,,16,0,,,,,,,,,,,,3,0,
163,Teddy Bridgewater,MIN,22,QB,13,12,,,,,,0,3,1,0,0,,1,0,
164,Lance Briggs,CHI,34,LB,8,8,1,2,0,2,3,1,0,0,0,0,,24,11,
165,Beau Brinkley,TEN,24,,16,0,,,,,,,,,,,,5,1,
166,Jasper Brinkley,MIN,29,MLB,16,11,,,,,,1,0,0,0,0,1.0,54,21,
167,Justin Britt,SEA,23,RT,16,16,,,,,,0,0,1,0,0,,,,
168,Kenny Britt,STL,26,WR,16,13,,,,,,,,,,,,1,0,
169,Kevin Brock,CIN,28,te,14,2,,,,,,,,,,,,2,0,
170,Tramaine Brock,SFO,26,lcb,3,2,,,,,,,,,,,,7,0,
171,Richie Brockel,CAR,28,,4,0,,,,,,,,,,,,3,0,
172,Michael Brockers,STL,24,dt/ldt/RDT,16,16,0,0,0,0,1,0,0,1,0,0,2.0,24,8,
173,Jay Bromley,NYG,22,,8,0,,,,,,,,,,,,2,3,
174,Ahmad Brooks,SFO,30,LB,13,13,0,0,0,0,3,1,0,1,0,0,6.0,25,5,
175,Ron Brooks,BUF,26,rcb,14,1,0,0,0,0,1,,,,,,,31,4,
176,Terrence Brooks,BAL,23,,11,0,0,0,0,0,2,0,0,1,0,0,,16,3,
177,Antonio Brown*+,PIT,26,WR,16,16,,,,,,0,2,1,0,0,,2,0,
178,Bryce Brown,BUF,23,rb,7,2,,,,,,0,1,0,0,0,,1,0,
179,Chykie Brown,2TM,28,,15,5,0,0,0,0,2,,,,,,,33,7,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
180,Corey Brown,CAR,23,wr,13,3,,,,,,0,3,1,0,0,,1,0,
181,Donald Brown,SDG,27,rb,13,3,,,,,,0,1,0,0,0,,5,0,
182,Everette Brown,WAS,27,,6,0,,,,,,,,,,,,6,2,
183,Jalil Brown,2TM,27,,5,0,0,0,0,0,1,,,,,,,1,0,
184,Jaron Brown,ARI,24,wr,16,2,,,,,,0,1,0,0,0,,8,1,
185,John Brown,ARI,24,wr,16,5,,,,,,0,0,1,0,0,,3,0,
186,Josh Brown,NYG,35,k,16,0,,,,,,0,0,1,-4,0,,2,0,
187,Marlon Brown,BAL,23,wr,14,1,,,,,,,,,,,,4,1,
188,Preston Brown,BUF,22,LB,16,14,1,0,0,0,2,0,0,1,30,0,,66,43,
189,Sergio Brown,IND,26,FS,15,8,0,0,0,0,6,0,0,1,26,0,1.0,25,9,
190,Stevie Brown,NYG,27,db/fs,16,8,0,0,0,0,1,,,,,,1.0,30,8,
191,Tarell Brown,OAK,29,RCB,14,14,0,0,0,0,4,,,,,,,47,8,
192,Brandon Browner,NWE,30,db/lcb/rcb,9,9,1,32,0,30,7,,,,,,,26,6,
193,David Bruton,DEN,27,s,14,1,0,0,0,0,3,2,0,0,0,0,,22,6,
194,Armonty Bryant,CLE,24,,5,2,,,,,,,,,,,1.0,5,6,
195,Corbin Bryant,BUF,26,,16,0,0,0,0,0,1,1,0,0,0,0,1.5,7,7,
196,Desmond Bryant,CLE,29,DE,15,15,0,0,0,0,1,0,0,1,0,0,5.0,25,24,
197,Dez Bryant*+,DAL,26,WR,16,16,,,,,,0,1,1,0,0,,1,0,
198,Red Bryant,JAX,30,DE,16,16,,,,,,1,0,0,0,0,1.0,15,8,
199,Deone Bucannon,ARI,22,db/s/ss,16,9,0,0,0,0,3,1,0,1,0,0,2.0,69,17,
200,Michael Buchanan,NWE,23,,3,0,,,,,,,,,,,,0,2,
201,Bryan Bulaga,GNB,25,RT,15,15,,,,,,0,0,1,0,0,,,,
202,Randy Bullock,HOU,25,k,16,0,,,,,,,,,,,,1,0,
203,Max Bullough,HOU,22,,1,0,,,,,,,,,,,,1,0,
204,Brodrick Bunkley,NOR,31,NT,11,11,,,,,,,,,,,,8,9,
205,Vontaze Burfict,CIN,24,lb,5,5,0,0,0,0,2,1,0,1,0,0,,15,14,
206,Rex Burkhead,CIN,24,,9,0,,,,,,,,,,,,1,4,
207,Marcus Burley,SEA,24,,13,0,1,24,0,24,5,,,,,,1.0,25,10,
208,Kaelin Burnett,2TM,25,,5,0,,,,,,,,,,,,2,1,
209,Morgan Burnett,GNB,25,SS,15,15,1,32,0,32,5,1,0,2,0,0,1.5,105,38,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
210,Miles Burris,OAK,26,MLB,16,16,0,0,0,0,1,,,,,,,77,33,
211,Isaiah Burse,DEN,23,,12,0,,,,,,0,3,1,0,0,,,,
212,Trey Burton,PHI,23,,15,0,,,,,,,,,,,,4,0,
213,Jarrett Bush,GNB,30,,15,0,0,0,0,0,1,,,,,,,12,6,
214,Josh Bush,2TM,25,,5,0,1,5,0,5,1,,,,,,,3,0,
215,Rafael Bush,NOR,27,db/fs,10,7,0,0,0,0,3,,,,,,,44,11,
216,Jermon Bushrod,CHI,30,LT,14,14,,,,,,,,,,,,2,0,
217,Brice Butler,OAK,24,,15,0,,,,,,,,,,,,1,0,
218,Crezdon Butler,TAM,27,cb,11,3,0,0,0,0,1,,,,,,,14,0,
219,Darius Butler,IND,28,cb/fs/lcb/rcb,14,4,0,0,0,0,10,3,0,1,7,0,,45,6,
220,Donald Butler,SDG,26,LB,14,13,0,0,0,0,2,0,0,3,0,0,1.0,45,28,
221,Drew Butler,ARI,25,p,15,0,,,,,,,,,,,,1,0,
222,Malcolm Butler,NWE,24,s,11,1,0,0,0,0,7,,,,,,,18,1,
223,Victor Butler,2TM,27,,2,0,,,,,,,,,,,,1,1,
224,Carrington Byndom,CAR,22,,3,0,,,,,,,,,,,,1,0,
225,Josh Bynes,DET,25,,13,0,1,17,0,17,1,0,0,1,0,0,,19,4,
226,Jairus Byrd,NOR,28,fs/rcb,4,4,0,0,0,0,2,1,0,0,0,0,,17,5,
227,Travaris Cadet,NOR,25,rb,15,1,,,,,,0,2,0,0,0,,3,0,
228,Jeremy Cain,CHI,34,,16,0,,,,,,,,,,,,3,1,
229,Andre Caldwell,DEN,29,wr,16,2,,,,,,0,0,2,0,0,,4,1,
230,Calais Campbell*,ARI,28,DE,14,14,1,23,0,23,3,1,0,0,0,0,7.0,48,14,
231,Tommie Campbell,JAX,27,,7,0,,,,,,,,,,,,3,2,
232,Chris Canty,BAL,32,DE,11,11,0,0,0,0,2,1,0,0,0,0,0.5,15,20,
233,Tank Carder,CLE,25,,16,0,,,,,,,,,,,,6,4,1
234,Don Carey,DET,27,cb/s,13,3,,,,,,0,0,1,40,1,,12,2,
235,Ka'Deem Carey,CHI,22,,14,0,,,,,,0,0,1,0,0,,0,1,
236,Gabe Carimi,ATL,26,lt/rg/rt/t/te,16,7,,,,,,,,,,,,1,0,
237,Brandon Carr,DAL,28,cb/LCB,16,16,0,0,0,0,9,0,0,1,0,0,1.0,54,9,
238,Derek Carr,OAK,23,QB,16,16,,,,,,0,10,4,-30,0,,1,0,
239,Tank Carradine,SFO,25,,9,0,,,,,,,,,,,3.0,16,1,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
240,Ryan Carrethers,SDG,23,nt,6,1,,,,,,,,,,,,12,0,
241,Travis Carrie,OAK,24,cb/lcb/rcb,13,4,1,28,0,28,8,1,2,2,0,0,,37,7,
242,Derek Carrier,SFO,24,te,11,1,,,,,,0,1,1,0,0,,3,0,
243,Alex Carrington,STL,27,,8,0,,,,,,,,,,,,1,0,
244,Nolan Carroll,PHI,27,cb,16,1,0,0,0,0,4,0,0,1,0,0,,30,1,
245,Glenn Carson,ARI,24,,5,0,,,,,,,,,,,,8,4,
246,Bruce Carter,DAL,26,LB,13,8,5,72,1,35,11,,,,,,1.0,57,25,
247,Chris Carter,2TM,25,,4,0,,,,,,,,,,,,2,1,
248,Quinton Carter,DEN,26,,11,0,0,0,0,0,1,1,0,0,0,0,1.0,17,4,
249,Tony Carter,DEN,28,,8,0,0,0,0,0,1,0,0,1,20,1,,5,0,
250,Chance Casey,2TM,23,,2,1,0,0,0,0,1,,,,,,,6,1,
251,James Casey,PHI,30,te,16,2,,,,,,,,,,,,7,2,
252,Jurrell Casey,TEN,25,DT,16,16,0,0,0,0,1,,,,,,5.0,45,23,
253,Jonathan Casillas,2TM,27,,13,6,,,,,,1,0,0,0,0,,26,15,
254,Antoine Cason,2TM,28,,14,11,2,81,0,80,6,4,0,2,0,0,,45,14,
255,Matt Cassel,MIN,32,qb,3,3,,,,,,0,3,2,-29,0,,,,
256,Anthony Castonzo,IND,26,LT,16,16,,,,,,,,,,,,1,0,
257,Chandler Catanzaro,ARI,23,k,16,0,,,,,,,,,,,,2,0,
258,Brent Celek,PHI,29,TE,16,15,,,,,,0,1,0,0,0,,2,0,
259,Kam Chancellor*,SEA,26,s/SS,14,14,1,52,0,52,7,1,0,0,0,0,,80,24,
260,Nate Chandler,CAR,25,RT,11,11,,,,,,,,,,,,2,0,
261,Scott Chandler,BUF,29,te,16,5,,,,,,,,,,,,4,0,
262,Jamar Chaney,OAK,28,,9,0,,,,,,,,,,,,5,0,
263,Josh Chapman,IND,25,NT,16,15,,,,,,1,0,0,0,0,,18,7,
264,Jamaal Charles*,KAN,28,RB,15,15,,,,,,0,5,1,0,0,,2,0,
265,Stefan Charles,BUF,26,dt,16,1,,,,,,0,0,1,0,0,3.0,12,11,
266,Chimdi Chekwa,OAK,26,cb/lcb,10,2,0,0,0,0,2,,,,,,,15,1,
267,Gosder Cherilus,IND,30,RT,13,13,,,,,,,,,,,,1,0,
268,Chris Chester,WAS,31,RG,16,16,,,,,,0,0,1,0,0,,,,
269,Patrick Chung,NWE,27,S,16,15,1,10,0,10,7,,,,,,,62,33,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
270,Barry Church,DAL,26,SS,16,16,2,49,0,45,6,2,0,1,-1,0,,87,22,
271,Ryan Clady*,DEN,28,LT,16,16,,,,,,0,0,1,-2,0,,1,0,
272,Morris Claiborne,DAL,24,db/rcb,4,3,1,-8,0,-8,2,,,,,,,5,2,
273,Ryan Clark,WAS,35,FS,16,15,1,8,0,8,3,0,1,2,0,0,0.5,68,33,
