
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
81,Monty Beisel,KAN,25,,12,0,,,,,,,,,,,1.0,23,1,
82,Jason Bell,HOU,25,,13,0,0,0,0,0,1,1,0,0,0,0,,8,5,
83,Kendrell Bell,PIT,25,RILB,16,16,1,61,0,42,3,1,0,1,0,0,5.0,80,19,
84,Marcus Bell,ARI,24,RDT,13,10,0,0,0,0,1,,,,,,1.0,21,2,
85,Jay Bellamy,NOR,31,SS,16,16,3,19,0,10,13,1,0,0,0,0,1.0,77,17,
86,Brandon Bennett,CIN,30,,16,0,,,,,,0,2,2,1,0,,8,2,
87,Darren Bennett,SDG,38,,16,0,,,,,,,,,,,,2,0,
88,Drew Bennett,TEN,25,WR,12,8,,,,,,0,0,1,0,0,,,,
89,Michael Bennett,MIN,25,rb,8,7,,,,,,0,2,1,0,0,,,,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
90,Kevin Bentley,CLE,24,LLB,16,14,1,25,0,25,2,,,,,,,60,36,
91,Mitch Berger,NOR,31,,16,0,,,,,,,,,,,,2,0,
92,Eddie Berlin,TEN,25,,14,0,,,,,,0,2,0,0,0,,5,2,
93,Rocky Bernard,SEA,24,,12,0,0,0,0,0,1,,,,,,2.0,11,5,
94,Bertrand Berry,DEN,28,RDE,16,16,0,0,0,0,4,3,0,1,3,0,11.5,24,12,
95,Sean Berton,MIN,24,,16,0,,,,,,,,,,,,1,0,
96,Jerome Bettis,PIT,31,RB,16,10,,,,,,0,5,1,0,0,,1,0,
97,Eric Beverly,DET,29,LG,13,13,,,,,,0,0,1,0,0,,1,0,
98,Erik Bickerstaff,DAL,23,,4,0,,,,,,,,,,,,1,0,
99,Josh Bidwell,GNB,27,,16,0,,,,,,,,,,,,1,0,
100,Greg Biekert,MIN,34,MLB,16,16,,,,,,1,0,0,0,0,1.0,60,16,
101,Cory Bird,IND,25,,12,0,,,,,,1,0,0,0,0,,16,3,
102,Matt Birk*,MIN,27,C,16,16,,,,,,0,0,1,0,0,,,,
103,Willie Blade,DAL,24,LDT,15,14,0,0,0,0,1,,,,,,1.0,11,5,
104,Jeff Blake,ARI,33,QB,13,13,,,,,,0,8,4,-1,0,,3,0,
105,Derrick Blaylock,KAN,24,,16,0,,,,,,0,1,0,0,0,,10,0,
106,Drew Bledsoe,BUF,31,QB,16,16,,,,,,0,15,4,-18,0,,,,
107,Dre' Bly*,DET,26,RCB,14,14,6,89,1,48,15,5,0,3,113,1,1.0,47,8,
108,Chris Bober,NYG,27,C,16,16,,,,,,0,0,1,0,0,,,,
109,Leigh Bodden,CLE,22,,13,1,1,1,0,1,3,,,,,,,17,0,
110,Marc Boerigter,KAN,25,,15,0,,,,,,0,0,2,0,0,,4,1,
111,Rocky Boiman,TEN,23,,16,2,2,70,1,60,2,,,,,,1.5,28,17,1
112,Juran Bolden,ATL,29,LCB,8,8,3,61,1,41,3,2,0,0,0,0,,20,3,
113,Anquan Boldin*,ARI,23,WR,16,16,,,,,,0,3,1,0,0,,3,0,
114,Kyle Boller,BAL,22,QB,11,9,,,,,,0,9,3,-25,0,,2,1,
115,Marty Booker,CHI,27,WR,13,13,,,,,,0,1,0,0,0,,2,0,
116,Alfonso Boone,CHI,27,ldt,16,6,0,0,0,0,3,,,,,,1.0,24,4,
117,David Boston,SDG,25,WR,14,14,,,,,,0,2,1,0,0,,2,0,
118,Peter Boulware*,BAL,29,ROLB,15,14,0,0,0,0,2,4,0,1,0,0,8.5,42,16,
119,Matt Bowen,WAS,27,FS,16,16,3,44,0,44,7,2,0,2,5,0,,74,9,
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Tkl,Ast,Sfty
120,David Bowens,MIA,26,,4,0,0,0,0,0,2,,,,,,1.0,2,0,
121,Tim Bowens,MIA,30,LDT,13,13,0,0,0,0,1,2,0,0,0,0,2.0,19,7,
122,Brant Boyer,CLE,32,rlb,15,7,1,4,0,4,2,,,,,,,46,20,
123,Tony Brackens,JAX,29,LDE,15,15,1,4,0,4,2,1,0,0,0,0,6.0,32,6,
124,Gary Brackett,IND,23,,16,0,1,31,1,31,1,,,,,,1.0,26,4,
